Table,Condition,Frequency
it_miidx,it.info = 'rating',37
it_miidx,it.info = 'votes',13
k,k.keyword LIKE '%sequel%',50
mi_idx,mi_idx.info > '7.0',13
mi_idx,mi_idx.info > '2.0',4
mi_idx,mi_idx.info > '6.0',6
mi_idx,mi_idx.info > '8.0',11
mi_idx,mi_idx.info > '6.5',8
mi_idx,mi_idx.info > '5.0',4
mi_idx,mi_idx.info > '9.0',4
t,t.production_year > 2008,3
t,t.production_year > 2000,17
t,t.production_year > 2005,10
t,t.production_year > 1990,9
t,t.production_year > 2010,6
t,t.production_year > 1950,4
t,t.production_year > 2009,1
