Table,Condition,Frequency
it_miidx,it.info = 'votes',17
it_miidx,it.info = 'votes distribution',18
it_miidx,it.info = 'rating',15
k,k.keyword LIKE '%y%',1
k,k.keyword LIKE '%e%',10
k,k.keyword LIKE '%-%',3
k,k.keyword LIKE '%a%',5
k,k.keyword LIKE '%i%',4
k,k.keyword LIKE '%x%',1
k,k.keyword LIKE '%n%',3
k,k.keyword LIKE '%u%',1
k,k.keyword LIKE '%o%',3
k,k.keyword LIKE '%g%',3
k,k.keyword LIKE '%c%',4
k,k.keyword LIKE '%s%',3
k,k.keyword LIKE '%h%',1
k,k.keyword LIKE '%0%',1
k,k.keyword LIKE '%p%',1
k,k.keyword LIKE '%l%',3
k,k.keyword LIKE '%t%',2
k,k.keyword LIKE '%k%',1
mi_idx,mi_idx.info > '597',1
mi_idx,mi_idx.info > '....2242..',1
mi_idx,mi_idx.info > '...012230.',1
mi_idx,mi_idx.info > '7.3',1
mi_idx,mi_idx.info > '0000122000',1
mi_idx,mi_idx.info > '13',1
mi_idx,mi_idx.info > '5.8',1
mi_idx,mi_idx.info > '1041',1
mi_idx,mi_idx.info > '0021210..0',1
mi_idx,mi_idx.info > '6.2',1
mi_idx,mi_idx.info > '0000013210',1
mi_idx,mi_idx.info > '59',1
mi_idx,mi_idx.info > '1352',1
mi_idx,mi_idx.info > '665',1
mi_idx,mi_idx.info > '0000002311',1
mi_idx,mi_idx.info > '3110000000',1
mi_idx,mi_idx.info > '0.0...0124',1
mi_idx,mi_idx.info > '138918',1
mi_idx,mi_idx.info > '33461',1
mi_idx,mi_idx.info > '18874',1
mi_idx,mi_idx.info > '8.4',1
mi_idx,mi_idx.info > '22',1
mi_idx,mi_idx.info > '4961',1
mi_idx,mi_idx.info > '6.8',1
mi_idx,mi_idx.info > '7.9',1
mi_idx,mi_idx.info > '0000122100',1
mi_idx,mi_idx.info > '382',1
mi_idx,mi_idx.info > '0.00002212',1
mi_idx,mi_idx.info > '.0111020.1',1
mi_idx,mi_idx.info > '0000122101',1
mi_idx,mi_idx.info > '265',1
mi_idx,mi_idx.info > '4.4',1
mi_idx,mi_idx.info > '3.3',1
mi_idx,mi_idx.info > '5.2',1
mi_idx,mi_idx.info > '145',1
mi_idx,mi_idx.info > '6.6',1
mi_idx,mi_idx.info > '0001211000',1
mi_idx,mi_idx.info > '321',1
mi_idx,mi_idx.info > '4.5',1
mi_idx,mi_idx.info > '0000012211',1
mi_idx,mi_idx.info > '....11...6',1
mi_idx,mi_idx.info > '18',1
mi_idx,mi_idx.info > '0000111001',1
mi_idx,mi_idx.info > '0000001213',1
mi_idx,mi_idx.info > '7.2',1
mi_idx,mi_idx.info > '5309',1
mi_idx,mi_idx.info > '1...0.0.05',1
mi_idx,mi_idx.info > '3.2',1
mi_idx,mi_idx.info > '7.4',1
mi_idx,mi_idx.info > '5.9',1
t,t.production_year > 2005,3
t,t.production_year > 1932,2
t,t.production_year > 1980,3
t,t.production_year > 1947,1
t,t.production_year > 1948,2
t,t.production_year > 2002,3
t,t.production_year > 1968,3
t,t.production_year > 1936,1
t,t.production_year > 1997,3
t,t.production_year > 1985,2
t,t.production_year > 1986,2
t,t.production_year > 2009,2
t,t.production_year > 2004,1
t,t.production_year > 1971,1
t,t.production_year > 1974,1
t,t.production_year > 2011,1
t,t.production_year > 2008,4
t,t.production_year > 1999,1
t,t.production_year > 1981,3
t,t.production_year > 2010,1
t,t.production_year > 1958,1
t,t.production_year > 1942,1
t,t.production_year > 2006,2
t,t.production_year > 1998,1
t,t.production_year > 1954,1
t,t.production_year > 1934,1
t,t.production_year > 2012,1
t,t.production_year > 1995,1
t,t.production_year > 2001,1
