Table,Condition,Frequency
ci,ci.note LIKE '%a%' AND ci.note LIKE '%a%',3
ci,ci.note LIKE '%u%' AND ci.note LIKE '%s%',1
ci,ci.note LIKE '%4%' AND ci.note LIKE '%)%',1
ci,ci.note LIKE '%n%' AND ci.note LIKE '%n%',1
ci,ci.note LIKE '%s%' AND ci.note LIKE '%e%',1
ci,ci.note LIKE '%t%' AND ci.note LIKE '%(%',1
ci,ci.note LIKE '%(%' AND ci.note LIKE '%i%',1
ci,ci.note LIKE '%a%' AND ci.note LIKE '%(%',2
ci,ci.note LIKE '%P%' AND ci.note LIKE '%u%',1
ci,ci.note LIKE '%a%' AND ci.note LIKE '%)%',1
ci,ci.note LIKE '%u%' AND ci.note LIKE '%e%',1
ci,ci.note LIKE '%s%' AND ci.note LIKE '%(%',1
ci,ci.note LIKE '%t%' AND ci.note LIKE '%)%',1
ci,ci.note LIKE '%n%' AND ci.note LIKE '%M%',1
ci,ci.note LIKE '%a%' AND ci.note LIKE '%n%',1
ci,ci.note LIKE '%s%' AND ci.note LIKE '%d%',1
ci,ci.note LIKE '%a%' AND ci.note LIKE '%M%',1
ci,ci.note LIKE '%h%' AND ci.note LIKE '%r%',1
ci,ci.note LIKE '%r%' AND ci.note LIKE '%u%',1
ci,ci.note LIKE '%2%' AND ci.note LIKE '%6%',1
ci,ci.note LIKE '%)%' AND ci.note LIKE '%e%',1
ci,ci.note LIKE '%N%' AND ci.note LIKE '%i%',1
ci,ci.note LIKE '%l%' AND ci.note LIKE '%)%',1
ci,ci.note LIKE '%i%' AND ci.note LIKE '%(%',1
ci,ci.note LIKE '%n%' AND ci.note LIKE '%c%',1
ci,ci.note LIKE '%)%' AND ci.note LIKE '%z%',1
ci,ci.note LIKE '%e%' AND ci.note LIKE '%l%',1
ci,ci.note LIKE '%(%' AND ci.note LIKE '%0%',1
ci,ci.note LIKE '%y%' AND ci.note LIKE '%A%',1
ci,ci.note LIKE '%e%' AND ci.note LIKE '%(%',1
ci,ci.note LIKE '%i%' AND ci.note LIKE '%h%',1
ci,ci.note LIKE '%i%' AND ci.note LIKE '%r%',1
ci,ci.note LIKE '%o%' AND ci.note LIKE '%r%',1
ci,ci.note LIKE '%(%' AND ci.note LIKE '%a%',1
ci,ci.note LIKE '%K%' AND ci.note LIKE '%(%',1
ci,ci.note LIKE '%)%' AND ci.note LIKE '%s%',1
ci,ci.note LIKE '%(%' AND ci.note LIKE '%e%',1
ci,ci.note LIKE '%t%' AND ci.note LIKE '%Ã%',1
ci,ci.note LIKE '%d%' AND ci.note LIKE '%e%',1
ci,ci.note LIKE '%)%' AND ci.note LIKE '%a%',1
ci,ci.note LIKE '%s%' AND ci.note LIKE '%)%',1
ci,ci.note LIKE '%n%' AND ci.note LIKE '%a%',1
ci,ci.note LIKE '%e%' AND ci.note LIKE '%c%',1
ci,ci.note LIKE '%n%' AND ci.note LIKE '%s%',1
ci,ci.note LIKE '%e%' AND ci.note LIKE '%e%',1
ci,ci.note LIKE '%y%' AND ci.note LIKE '%y%',1
ci,ci.note LIKE '%o%' AND ci.note LIKE '%l%',1
cn,cn.country_code = '[us]',11
cn,cn.country_code = '[fi]',2
cn,cn.country_code = '[au]',1
cn,cn.country_code = '[xyu]',1
cn,cn.country_code = '[de]',7
cn,cn.country_code = '[ca]',4
cn,cn.country_code = '[it]',3
cn,cn.country_code = '[ph]',1
cn,cn.country_code = '[jp]',3
cn,cn.country_code = '[cl]',1
cn,cn.country_code = '[gb]',4
cn,cn.country_code = '[nl]',2
cn,cn.country_code = '[fr]',1
cn,cn.country_code = '[sg]',1
cn,cn.country_code = '[ar]',2
cn,cn.country_code = '[mx]',1
cn,cn.country_code = '[pt]',1
cn,cn.country_code = '[br]',3
cn,cn.country_code = '[ru]',1
rt,rt.role = 'actress',14
rt,rt.role = 'actor',36
t,t.production_year > 1963,2
t,t.production_year > 1989,1
t,t.production_year > 2000,2
t,t.production_year > 2010,1
t,t.production_year > 2006,2
t,t.production_year > 2003,2
t,t.production_year > 1961,3
t,t.production_year > 2005,4
t,t.production_year > 1977,1
t,t.production_year > 1998,1
t,t.production_year > 2001,2
t,t.production_year > 1938,2
t,t.production_year > 1995,3
t,t.production_year > 2009,2
t,t.production_year > 1981,1
t,t.production_year > 2011,1
t,t.production_year > 1949,2
t,t.production_year > 1991,1
t,t.production_year > 1913,1
t,t.production_year > 1999,2
t,t.production_year > 2008,1
t,t.production_year > 1988,1
t,t.production_year > 1974,1
t,t.production_year > 2007,1
t,t.production_year > 1971,1
t,t.production_year > 1994,1
t,t.production_year > 1982,1
t,t.production_year > 2002,1
t,t.production_year > 1958,1
t,t.production_year > 1978,1
t,t.production_year > 1955,1
t,t.production_year > 1975,1
t,t.production_year > 1996,1
t,t.production_year > 2004,1
