Table,Condition,Frequency
cn,cn.country_code = '[de]',63
cn,cn.country_code = '[us]',194
cn,cn.country_code = '[fr]',51
cn,cn.country_code = '[gb]',76
cn,cn.country_code = '[mx]',1
cn,cn.country_code = '[ca]',2
cn,cn.country_code = '[ie]',2
cn,cn.country_code = '[suhh]',1
cn,cn.country_code = '[pl]',1
cn,cn.country_code = '[ru]',1
cn,cn.country_code = '[be]',1
cn,cn.country_code = '[es]',1
cn,cn.country_code = '[za]',1
cn,cn.country_code = '[nz]',1
cn,cn.country_code = '[at]',1
cn,cn.country_code = '[ddde]',1
cn,cn.country_code = '[uy]',1
cn,cn.country_code = '[sg]',1
k,k.keyword = 'revenge',4
k,k.keyword = 'impact',1
k,k.keyword = 'character-name-in-title',91
k,k.keyword = 'independent-film',30
k,k.keyword = 'murder',33
k,k.keyword = 'husband-wife-relationship',5
k,k.keyword = 'based-on-novel',38
k,k.keyword = 'female-nudity',37
k,k.keyword = 'sex',84
k,k.keyword = 'father-daughter-relationship',7
k,k.keyword = 'number-in-title',5
k,k.keyword = 'red-cross',1
k,k.keyword = 'bare-breasts',4
k,k.keyword = 'male-nudity',4
k,k.keyword = 'bare-chested-male',3
k,k.keyword = 'death',4
k,k.keyword = 'oral-sex',3
k,k.keyword = 'one-word-title',1
k,k.keyword = 'nudity',1
k,k.keyword = 'friendship',5
k,k.keyword = 'dog',6
k,k.keyword = 'police',3
k,k.keyword = 'non-fiction',3
k,k.keyword = 'blood',3
k,k.keyword = 'family-relationships',3
k,k.keyword = 'violence',5
k,k.keyword = 'farmer''s-wife',1
k,k.keyword = 'surrealism',4
k,k.keyword = 'based-on-play',3
k,k.keyword = 'love',1
k,k.keyword = 'tv-mini-series',1
k,k.keyword = 'kauai',1
k,k.keyword = 'tiger-pit',1
k,k.keyword = 'criminal-justice',1
k,k.keyword = 'anal-sex',1
k,k.keyword = 'father-son-relationship',1
k,k.keyword = 'newgate-prison',1
