Table,Condition,Frequency
cct1,"cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')",26
cct1,"cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')",24
cct2,cct.kind = 'complete',27
cct2,cct.kind = 'complete+verified',23
ci,"ci.note IN ('(uncredited)', '(producer)', '(uncredited)', '(uncredited)', '(producer)')",1
ci,"ci.note IN ('(producer)', '(production assistant)', '(uncredited)', '(uncredited)', '(producer)')",1
ci,"ci.note IN ('(executive producer)', '(executive producer)', '(executive producer)', '(executive producer)', '(executive producer)')",4
ci,"ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')",13
ci,"ci.note IN ('(production assistant)', '(producer)', '(producer)', '(production assistant)', '(production assistant)')",1
ci,"ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(producer)')",12
ci,"ci.note IN ('(producer)', '(executive producer)', '(uncredited)', '(executive producer)', '(writer)')",1
ci,"ci.note IN ('(voice)', '(writer)', '(voice)', '(executive producer)', '(voice)')",1
ci,"ci.note IN ('(producer)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')",1
ci,"ci.note IN ('(executive producer)', '(executive producer)', '(executive producer)', '(writer)', '(voice)')",1
ci,"ci.note IN ('(associate producer)', '(voice)', '(screenplay)', '(voice)', '(screenplay)')",1
ci,"ci.note IN ('(production assistant)', '(writer)', '(uncredited)', '(writer)', '(producer)')",1
ci,"ci.note IN ('(producer)', '(producer)', '(executive producer)', '(executive producer)', '(producer)')",1
ci,"ci.note IN ('(uncredited)', '(producer)', '(uncredited)', '(uncredited)', '(uncredited)')",1
ci,"ci.note IN ('(producer)', '(producer)', '(executive producer)', '(producer)', '(executive producer)')",1
ci,"ci.note IN ('(producer)', '(uncredited)', '(producer)', '(uncredited)', '(producer)')",1
ci,"ci.note IN ('(production assistant)', '(production assistant)', '(production assistant)', '(production assistant)', '(production assistant)')",1
ci,"ci.note IN ('(voice)', '(screenplay)', '(voice)', '(screenplay)', '(screenplay)')",1
ci,"ci.note IN ('(uncredited)', '(associate producer)', '(uncredited)', '(uncredited)', '(uncredited)')",1
ci,"ci.note IN ('(poem ""La Femme"") (segment ""The Perfect Human: Brussels"")', '(assistant location manager) (as Nancy Roth)', '(photo double/stand in: Emma Stone)', '(mechanical technician)', '(production executive) (uncredited)')",1
ci,"ci.note IN ('(co-producer)', '(executive producer)', '(co-producer)', '(uncredited)', '(co-producer)')",1
ci,"ci.note IN ('(production assistant)', '(production assistant)', '(executive producer)', '(production assistant)', '(production assistant)')",1
ci,"ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(executive producer)', '(producer)')",1
ci,"ci.note IN ('(producer)', '(production assistant)', '(production assistant)', '(producer)', '(uncredited)')",1
it_mi,it.info = 'genres',37
it_mi,it.info = 'countries',13
it_miidx,it.info = 'rating',12
it_miidx,it.info = 'votes',16
it_miidx,it.info = 'votes distribution',12
it_miidx,it.info = 'top 250 rank',10
k,"k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')",9
k,"k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')",3
k,"k.keyword IN ('female-nudity', 'based-on-play', 'female-nudity', 'based-on-play', 'female-nudity')",1
k,"k.keyword IN ('family-relationships', 'police', 'number-in-title', 'police', 'death')",1
k,"k.keyword IN ('based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel')",2
