Table,Condition,Frequency
it_miidx,it.info = 'votes distribution',13
it_miidx,it.info = 'votes',25
it_miidx,it.info = 'rating',12
k,k.keyword LIKE '%m%',3
k,k.keyword LIKE '%i%',5
k,k.keyword LIKE '%e%',5
k,k.keyword LIKE '%r%',4
k,k.keyword LIKE '%a%',7
k,k.keyword LIKE '%t%',6
k,k.keyword LIKE '%-%',1
k,k.keyword LIKE '%p%',2
k,k.keyword LIKE '%l%',4
k,k.keyword LIKE '%Ã%',1
k,k.keyword LIKE '%s%',1
k,k.keyword LIKE '%o%',2
k,k.keyword LIKE '%d%',2
k,k.keyword LIKE '%n%',1
k,k.keyword LIKE '%y%',1
k,k.keyword LIKE '%u%',1
k,k.keyword LIKE '%f%',1
k,k.keyword LIKE '%c%',3
mi_idx,mi_idx.info > '0.00001114',1
mi_idx,mi_idx.info > '1653',1
mi_idx,mi_idx.info > '0000122100',2
mi_idx,mi_idx.info > '.1....14.2',1
mi_idx,mi_idx.info > '6.3',2
mi_idx,mi_idx.info > '510',1
mi_idx,mi_idx.info > '78726',1
mi_idx,mi_idx.info > '2113',1
mi_idx,mi_idx.info > '6.4',1
mi_idx,mi_idx.info > '68235',1
mi_idx,mi_idx.info > '0000011101',1
mi_idx,mi_idx.info > '1174',1
mi_idx,mi_idx.info > '12266',1
mi_idx,mi_idx.info > '5.7',1
mi_idx,mi_idx.info > '7',1
mi_idx,mi_idx.info > '51564',1
mi_idx,mi_idx.info > '42',1
mi_idx,mi_idx.info > '0.0..11014',1
mi_idx,mi_idx.info > '8.3',1
mi_idx,mi_idx.info > '1621',1
mi_idx,mi_idx.info > '0000001212',1
mi_idx,mi_idx.info > '4.4',1
mi_idx,mi_idx.info > '27072',1
mi_idx,mi_idx.info > '13',1
mi_idx,mi_idx.info > '....000124',1
mi_idx,mi_idx.info > '235',1
mi_idx,mi_idx.info > '.0.0001113',1
mi_idx,mi_idx.info > '0000012101',1
mi_idx,mi_idx.info > '2111100000',1
mi_idx,mi_idx.info > '7.8',1
mi_idx,mi_idx.info > '3.1',1
mi_idx,mi_idx.info > '149',1
mi_idx,mi_idx.info > '7.6',2
mi_idx,mi_idx.info > '4157',1
mi_idx,mi_idx.info > '6198',1
mi_idx,mi_idx.info > '268721',1
mi_idx,mi_idx.info > '1090',1
mi_idx,mi_idx.info > '1075',1
mi_idx,mi_idx.info > '0000011112',1
mi_idx,mi_idx.info > '6.5',1
mi_idx,mi_idx.info > '966',1
mi_idx,mi_idx.info > '....24.211',1
mi_idx,mi_idx.info > '884',1
mi_idx,mi_idx.info > '752',1
mi_idx,mi_idx.info > '10',1
mi_idx,mi_idx.info > '212',1
mi_idx,mi_idx.info > '3.4',1
t,t.production_year > 2002,7
t,t.production_year > 2003,13
t,t.production_year > 2004,9
t,t.production_year > 1999,3
t,t.production_year > 1998,4
t,t.production_year > 2005,8
t,t.production_year > 2001,4
t,t.production_year > 2000,2
