Table,Condition,Frequency
it_mi,it.info = 'countries',26
it_mi,it.info = 'genres',21
it_mi,it.info = 'release dates',3
it_miidx,it.info = 'votes',34
it_miidx,it.info = 'rating',13
it_miidx,it.info = 'votes distribution',3
k,"k.keyword IN ('hardcore', 'hardcore', 'sex', 'hardcore', 'sex')",3
k,"k.keyword IN ('film-puzzle', 'character-says-""dick""-as-epithet', 'beauty-shop', 'red', 'broken-rule')",1
k,"k.keyword IN ('sex', 'hardcore', 'hardcore', 'hardcore', 'hardcore')",1
k,"k.keyword IN ('nudity', 'oral-sex', 'nudity', 'female-nudity', 'anal-sex')",1
k,"k.keyword IN ('hardcore', 'hardcore', 'sex', 'sex', 'hardcore')",3
k,"k.keyword IN ('hardcore', 'hardcore', 'sex', 'sex', 'sex')",1
k,"k.keyword IN ('nudity', 'anal-sex', 'female-nudity', 'oral-sex', 'anal-sex')",1
k,"k.keyword IN ('oral-sex', 'anal-sex', 'anal-sex', 'anal-sex', 'female-nudity')",1
k,"k.keyword IN ('sex', 'sex', 'sex', 'sex', 'hardcore')",1
k,"k.keyword IN ('13th-century-b.c.', 'fearless', 'ammunition-belt', 'wire-frame', 'artist-model')",1
k,"k.keyword IN ('cartoon-fox', 'snowboarding', 'pike', 'experimental-music', 'white-man-asian-woman-relationship')",1
k,"k.keyword IN ('sex', 'sex', 'hardcore', 'hardcore', 'hardcore')",2
k,"k.keyword IN ('hardcore', 'hardcore', 'sex', 'hardcore', 'hardcore')",1
k,"k.keyword IN ('oral-sex', 'anal-sex', 'oral-sex', 'nudity', 'female-nudity')",1
k,"k.keyword IN ('hardcore', 'sex', 'hardcore', 'sex', 'hardcore')",1
k,"k.keyword IN ('nudity', 'nudity', 'anal-sex', 'female-nudity', 'anal-sex')",1
k,"k.keyword IN ('oral-sex', 'female-nudity', 'anal-sex', 'anal-sex', 'nudity')",1
k,"k.keyword IN ('ray-fish', 'weatherwoman', 'ghoul', 'cooking', 'bigamist')",1
k,"k.keyword IN ('female-nudity', 'nudity', 'anal-sex', 'female-nudity', 'nudity')",1
k,"k.keyword IN ('anal-sex', 'nudity', 'female-nudity', 'nudity', 'oral-sex')",1
k,"k.keyword IN ('oral-sex', 'anal-sex', 'female-nudity', 'female-nudity', 'female-nudity')",1
k,"k.keyword IN ('hardcore', 'sex', 'hardcore', 'sex', 'sex')",1
k,"k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')",1
k,"k.keyword IN ('nudity', 'anal-sex', 'anal-sex', 'female-nudity', 'female-nudity')",1
k,"k.keyword IN ('oral-sex', 'nudity', 'oral-sex', 'female-nudity', 'anal-sex')",1
k,"k.keyword IN ('sex', 'hardcore', 'hardcore', 'sex', 'hardcore')",2
k,"k.keyword IN ('shinsengumi', 'childhood-sweetheart', '100th-century-b.c.', 'gargoyle', 'forced-to-drink')",1
k,"k.keyword IN ('oral-sex', 'nudity', 'nudity', 'nudity', 'nudity')",1
k,"k.keyword IN ('nudity', 'female-nudity', 'anal-sex', 'oral-sex', 'anal-sex')",1
k,"k.keyword IN ('sex', 'hardcore', 'sex', 'hardcore', 'sex')",2
k,"k.keyword IN ('nudity', 'female-nudity', 'anal-sex', 'anal-sex', 'nudity')",1
k,"k.keyword IN ('laugh-track', 'lagrange', 'nuclear-threat', 'exxon', 'posing-for-a-photograph')",1
k,"k.keyword IN ('female-nudity', 'oral-sex', 'female-nudity', 'anal-sex', 'nudity')",1
k,"k.keyword IN ('farmer''s-daughter', 'fight-to-the-death', 'cosmetics', 'wallace-and-gromit', 'staked-out')",1
k,"k.keyword IN ('sex', 'sex', 'hardcore', 'sex', 'hardcore')",2
k,"k.keyword IN ('oral-sex', 'nudity', 'nudity', 'oral-sex', 'anal-sex')",1
k,"k.keyword IN ('nudity', 'oral-sex', 'anal-sex', 'female-nudity', 'nudity')",1
k,"k.keyword IN ('female-nudity', 'anal-sex', 'anal-sex', 'oral-sex', 'female-nudity')",1
k,"k.keyword IN ('anal-sex', 'nudity', 'oral-sex', 'anal-sex', 'nudity')",1
k,"k.keyword IN ('female-nudity', 'nudity', 'nudity', 'nudity', 'nudity')",1
k,"k.keyword IN ('oral-sex', 'anal-sex', 'nudity', 'anal-sex', 'oral-sex')",1
k,"k.keyword IN ('oral-sex', 'female-nudity', 'nudity', 'anal-sex', 'nudity')",1
kt,kt.kind = 'video movie',50
mi,"mi.info IN ('English', 'USA', 'English', 'USA:2007', 'Adult')",1
mi,"mi.info IN ('Documentary', 'USA:X', 'USA:X', 'USA:X', 'USA:X')",1
mi,"mi.info IN ('Documentary', 'Color', 'USA', 'Adult', 'USA')",1
mi,"mi.info IN ('USA', 'Short', 'English', 'USA', 'USA:2004')",1
mi,"mi.info IN ('Documentary', 'USA:X', 'USA:X', 'Documentary', 'Documentary')",1
mi,"mi.info IN ('English', 'English', 'Color', 'USA', 'Color')",1
mi,"mi.info IN ('Adult', 'Color', 'Adult', 'Color', 'Color')",1
mi,"mi.info IN ('USA', 'USA', 'USA', 'Color', 'Color')",1
mi,"mi.info IN ('English', 'Documentary', 'English', 'Adult', 'Documentary')",1
