Table,Condition,Frequency
cn,cn.country_code = '[us]',8
cn,cn.country_code = '[es]',1
cn,cn.country_code = '[br]',20
cn,cn.country_code = '[de]',16
cn,cn.country_code = '[fr]',1
cn,cn.country_code = '[gb]',1
cn,cn.country_code = '[ca]',1
cn,cn.country_code = '[ar]',1
cn,cn.country_code = '[nl]',1
k,k.keyword = 'urination',2
k,k.keyword = 'voyeur',1
k,k.keyword = 'bareback-sex',1
k,k.keyword = 'gash-in-the-face',2
k,k.keyword = 'hardcore',2
k,k.keyword = 'poncho',1
k,k.keyword = 'shot-in-the-back',1
k,k.keyword = 'sand',2
k,k.keyword = 'deepthroat',1
k,k.keyword = 'rape',2
k,k.keyword = 'independent-film',2
k,k.keyword = 'fictional-war',3
k,k.keyword = 'self-surgery',1
k,k.keyword = 'loner',3
k,k.keyword = 'talking-animal',1
k,k.keyword = 'street-shootout',4
k,k.keyword = 'hostage',1
k,k.keyword = 'police-car',2
k,k.keyword = 'two-word-title',3
k,k.keyword = 'father-son-relationship',2
k,k.keyword = 'exploding-motorcycle',1
k,k.keyword = 'sex-slave',1
k,k.keyword = 'fisticuffs',2
k,k.keyword = 'preacher',2
k,k.keyword = 'pet-shop',1
k,k.keyword = 'intellectual-disability-slur',1
k,k.keyword = 'dissection',1
k,k.keyword = 'sabotage',1
k,k.keyword = 'knife-throwing',1
k,k.keyword = 'gunfight',1
k,k.keyword = 'martial-arts',1
n,n.name LIKE '%s%',3
n,n.name LIKE '%H%',2
n,n.name LIKE '%B%',4
n,n.name LIKE '%l%',1
n,n.name LIKE '%D%',1
n,n.name LIKE '%n%',4
n,n.name LIKE '%a%',5
n,n.name LIKE '%r%',4
n,n.name LIKE '%v%',1
n,"n.name LIKE '%,%'",5
n,n.name LIKE '%u%',1
n,n.name LIKE '%e%',4
n,n.name LIKE '%o%',4
n,n.name LIKE '%y%',3
n,n.name LIKE '%A%',4
n,n.name LIKE '%d%',2
n,n.name LIKE '%¡%',1
n,n.name LIKE '%T%',1
