Table,Condition,Frequency
k,k.keyword LIKE '%d%',2
k,k.keyword LIKE '%e%',8
k,k.keyword LIKE '%s%',2
k,k.keyword LIKE '%m%',2
k,k.keyword LIKE '%b%',1
k,k.keyword LIKE '%on%',1
k,k.keyword LIKE '%i%',2
k,k.keyword LIKE '%female%',2
k,k.keyword LIKE '%in%',2
k,k.keyword LIKE '%x%',3
k,k.keyword LIKE '%n%',1
k,k.keyword LIKE '%c%',1
k,k.keyword LIKE '%to%',1
k,k.keyword LIKE '%r%',4
k,k.keyword LIKE '%hand%',1
k,k.keyword LIKE '%u%',3
k,k.keyword LIKE '%character%',1
k,k.keyword LIKE '%nudity%',1
k,k.keyword LIKE '%based%',1
k,k.keyword LIKE '%o%',2
k,k.keyword LIKE '%name%',2
k,k.keyword LIKE '%of%',1
k,k.keyword LIKE '%independent%',1
k,k.keyword LIKE '%relationship%',1
k,k.keyword LIKE '%novel%',2
k,k.keyword LIKE '%tire%',1
k,k.keyword LIKE '%f%',1
mi,"mi.info IN ('USA:28 January 2013', 'PSE 91-05', 'This time the butler didn''t do it!', 'MET:1372 m', 'USA:9 June 1938')",1
mi,"mi.info IN ('Jonah moves in with Austin. Bo and Carly are suspicious of Vivian''s nice behavior. Billie goes to the police station to clear Bo''s name, but accidentally blurts out that he threatened to kill Cash. Bo is surprised to find Taylor at Larry''s place. Marlena tries to help Carrie to get over her break up.', 'INR 206,700,000 (India) (30 September 2005)', 'Denmark:19 April 2007', 'Bolton, Greater Manchester, England, UK', 'Connie: I warned him, boss.::Aldo: Anthony said it was a matter of life and death, boss.::Snaps: And will you two mugs stop callin'' me ""boss""? It ain''t respectable!::Connie, Aldo: Sorry, boss.')",1
mi,"mi.info IN ('PFM:35 mm', 'PFM:35 mm', 'PFM:35 mm', 'PFM:35 mm', 'PFM:35 mm')",5
mi,"mi.info IN ('-', 'OFM:35 mm', 'Drama', '-', '-')",1
mi,"mi.info IN ('English', 'English', 'English', 'English', 'Short')",1
mi,"mi.info IN ('OFM:35 mm', 'OFM:35 mm', 'OFM:35 mm', 'OFM:35 mm', 'OFM:35 mm')",1
