Table,Condition,Frequency
cct1,"cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')",28
cct1,"cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')",22
cct2,cct.kind = 'complete+verified',26
cct2,cct.kind = 'complete',24
ci,"ci.note IN ('(story)', '(co-executive producer)', '(voice: English version)', '(associate producer)', '(voice: English version)')",1
ci,"ci.note IN ('(producer)', '(voice)', '(uncredited)', '(executive producer)', '(voice)')",1
ci,"ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')",7
ci,"ci.note IN ('(writer)', '(writer)', '(voice)', '(voice)', '(voice)')",1
ci,"ci.note IN ('(producer)', '(executive producer)', '(producer)', '(executive producer)', '(writer)')",1
ci,"ci.note IN ('(associate producer)', '(written by)', '(written by)', '(written by)', '(writer)')",1
ci,"ci.note IN ('(production assistant)', '(voice)', '(voice)', '(voice)', '(voice)')",1
ci,"ci.note IN ('(aerial coordinator) (as Russ Cannon)', '(producer)', '(executive producer)', '(production executive)', '(as Kevin Woods)')",1
ci,"ci.note IN ('(executive producer)', '(producer)', '(executive producer)', '(executive producer)', '(executive producer)')",1
ci,"ci.note IN ('(production assistant)', '(production assistant)', '(production assistant)', '(production assistant)', '(production assistant)')",1
ci,"ci.note IN ('(executive producer)', '(executive producer)', '(producer)', '(producer)', '(producer)')",1
ci,"ci.note IN ('(written by)', '(production assistant)', '(voice)', '(voice)', '(production assistant)')",1
ci,"ci.note IN ('(executive producer)', '(producer)', '(producer)', '(production assistant)', '(production assistant)')",1
ci,"ci.note IN ('(production assistant)', '(associate producer)', '(uncredited)', '(uncredited)', '(producer)')",1
ci,"ci.note IN ('(executive producer)', '(executive producer)', '(executive producer)', '(executive producer)', '(executive producer)')",5
ci,"ci.note IN ('(writer)', '(written by)', '(writer)', '(associate producer)', '(writer)')",1
ci,"ci.note IN ('(production assistant)', '(executive producer)', '(producer)', '(executive producer)', '(executive producer)')",1
ci,"ci.note IN ('(executive producer)', '(writer)', '(executive producer)', '(producer)', '(producer)')",1
