Table,Condition,Frequency
cct1,"cct.kind IN ('cast', 'crew')",50
cct2,cct.kind = 'complete',15
cct2,cct.kind = 'complete+verified',35
ci,"ci.note IN ('(voice)', '(voice: Japanese version)', '(voice) (uncredited)', '(voice: English version)')",23
ci,"ci.note IN ('(writer)', '(head writer)', '(written by)', '(story)', '(story editor)')",19
ci,"ci.note IN ('(voice)', '(voice) (uncredited)', '(voice: English version)')",6
ci,"ci.note IN ('(producer)', '(executive producer)')",2
it_mi,it.info = 'countries',34
it_mi,it.info = 'genres',16
it_miidx,it.info = 'votes',11
it_miidx,it.info = 'rating',39
k,"k.keyword IN ('superhero', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence', 'magnet', 'web', 'claw', 'laser')",4
k,"k.keyword IN ('murder', 'murder-in-title', 'blood', 'violence')",14
k,"k.keyword IN ('murder', 'blood', 'gore', 'death', 'female-nudity')",2
k,"k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence')",17
k,"k.keyword IN ('murder', 'murder-in-title')",1
k,"k.keyword IN ('murder', 'violence', 'blood', 'gore', 'death', 'female-nudity', 'hospital')",7
k,"k.keyword IN ('hero', 'martial-arts', 'hand-to-hand-combat', 'computer-animated-movie')",1
k,"k.keyword IN ('hero', 'martial-arts', 'hand-to-hand-combat')",1
k,"k.keyword IN ('sequel', 'revenge', 'based-on-novel')",3
mi,"mi.info IN ('Sweden', 'Germany', 'Swedish', 'German')",8
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'USA', 'American')",14
mi,"mi.info IN ('Germany', 'German', 'USA', 'American')",2
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German')",3
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'English')",4
mi,"mi.info IN ('Horror', 'Thriller')",5
mi,"mi.info IN ('Horror', 'Action', 'Sci-Fi', 'Thriller', 'Crime', 'War')",9
mi,"mi.info IN ('Drama', 'Horror', 'Western', 'Family')",1
mi,"mi.info IN ('Germany', 'German')",3
mi,"mi.info IN ('Drama', 'Horror')",1
n,n.gender = 'm',50
t,t.production_year > 2000,27
t,t.production_year > 1990,7
t,t.production_year > 2005,10
t,t.production_year > 1950,2
t,t.production_year > 2010,3
t,t.production_year > 2008,1
