Table,Condition,Frequency
cn,cn.country_code = '[us]',45
cn,cn.country_code = '[jp]',2
cn,cn.country_code = '[ru]',2
cn,cn.country_code = '[de]',1
k,k.keyword = 'sequel',18
k,k.keyword = 'character-name-in-title',30
k,k.keyword = 'computer-animation',2
n,n.name LIKE 'B%',5
n,n.name LIKE '%N%',1
n,n.name LIKE 'A%',2
n,n.name LIKE '%G%',1
n,n.name LIKE '%Yo%',1
n,n.name LIKE '%Downey%Robert%',3
n,n.name LIKE 'D%',3
n,n.name LIKE '%Ang%',3
n,n.name LIKE '%F%',1
n,n.name LIKE '%S%',1
n,n.name LIKE 'E%',1
n,n.name LIKE '%Y%',2
n,n.name LIKE '%V%',1
n,n.name LIKE '%A%',1
n,n.name LIKE '%M%',3
n,n.name LIKE '%K%',1
n,n.name LIKE '%W%',2
n,n.name LIKE '%Tim%',1
n,n.name LIKE 'C%',1
n,n.name LIKE '%T%',2
n,n.name LIKE '%X%',1
n,n.name LIKE '%H%',1
n,n.name LIKE '%An%',2
n,n.name LIKE '%E%',1
n,n.name LIKE 'K%',2
n,n.name LIKE 'F%',1
n,n.name LIKE 'H%',1
n,n.name LIKE '%D%',2
n,n.name LIKE '%Z%',1
n,n.name LIKE '%Angel%',1
n,n.name LIKE '%O%',1
