Table,Condition,Frequency
cn,cn.country_code = '[us]',19
cn,cn.country_code = '[it]',1
cn,cn.country_code = '[de]',5
cn,cn.country_code = '[br]',4
cn,cn.country_code = '[ca]',4
cn,cn.country_code = '[hk]',1
cn,cn.country_code = '[ph]',2
cn,cn.country_code = '[xyu]',4
cn,cn.country_code = '[nl]',3
cn,cn.country_code = '[fi]',2
cn,cn.country_code = '[fr]',2
cn,cn.country_code = '[au]',1
cn,cn.country_code = '[ru]',2
k,k.keyword = 'swimming-pool',2
k,k.keyword = 'multiple-stabbing',1
k,k.keyword = 'samurai-sword',1
k,k.keyword = 'city-life',1
k,k.keyword = 'mirror',2
k,k.keyword = 'fight',2
k,k.keyword = 'teenage-mutant-ninja-turtles',1
k,k.keyword = 'awol',1
k,k.keyword = 'death',1
k,k.keyword = 'draft',2
k,k.keyword = 'serbia',2
k,k.keyword = 'sai',1
k,k.keyword = 'martial-artist',1
k,k.keyword = 'divorce',1
k,k.keyword = 'sex',1
k,k.keyword = 'dark-past',2
k,k.keyword = 'forehead-cut',2
k,k.keyword = 'warrior',1
k,k.keyword = 'terrorism',2
k,k.keyword = 'title-spoken-by-character',1
k,k.keyword = 'top-hat',1
k,k.keyword = 'boy-with-glasses',1
k,k.keyword = 'telephone',1
k,k.keyword = 'gore',2
k,k.keyword = 'violence',2
k,k.keyword = 'musket',1
k,k.keyword = 'dead-mother',1
k,k.keyword = 'rain',1
k,k.keyword = 'stabbed-with-a-bayonet',3
k,k.keyword = 'times-square-manhattan-new-york-city',1
k,k.keyword = 'tied-to-a-bed',1
k,k.keyword = 'ninja-turtle',1
k,k.keyword = 'betrayal',1
k,k.keyword = 'female-nudity',1
k,k.keyword = 'convenience-store',1
k,k.keyword = 'u.s.-secretary-of-state',1
k,k.keyword = 'thunderstorm',1
k,k.keyword = 'historic-figure',1
n,n.name LIKE '%a%',5
n,n.name LIKE '%i%',3
n,n.name LIKE '%S%',2
n,n.name LIKE '%l%',1
n,n.name LIKE '%e%',5
n,n.name LIKE '%t%',4
n,n.name LIKE '%R%',1
n,n.name LIKE '%K%',1
n,n.name LIKE '%r%',3
n,"n.name LIKE '%,%'",4
n,n.name LIKE '%.%',1
n,n.name LIKE '%d%',1
n,n.name LIKE '%o%',5
n,n.name LIKE '%A%',3
n,n.name LIKE '%D%',2
n,n.name LIKE '%f%',1
n,n.name LIKE '%g%',2
n,n.name LIKE '%n%',3
n,n.name LIKE '%s%',1
n,n.name LIKE '%J%',1
n,n.name LIKE '%L%',1
