Table,Condition,Frequency
cn,(cn.name LIKE '%m%' OR cn.name LIKE '%e%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%o%' OR cn.name LIKE '%d%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%F%' OR cn.name LIKE '%m%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%n%' OR cn.name LIKE '%i%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%a%' OR cn.name LIKE '%o%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%d%' OR cn.name LIKE '%e%') AND cn.country_code != '[us]',2
cn,(cn.name LIKE '%i%' OR cn.name LIKE '%M%') AND cn.country_code != '[us]',2
cn,(cn.name LIKE '%T%' OR cn.name LIKE '%o%') AND cn.country_code != '[us]',3
cn,(cn.name LIKE '%l%' OR cn.name LIKE '%i%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%S%' OR cn.name LIKE '%c%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%e%' OR cn.name LIKE '%d%') AND cn.country_code != '[us]',2
cn,(cn.name LIKE '%P%' OR cn.name LIKE '%r%') AND cn.country_code != '[ar]',1
cn,(cn.name LIKE '%d%' OR cn.name LIKE '%T%') AND cn.country_code != '[us]',4
cn,(cn.name LIKE '%T%' OR cn.name LIKE '%d%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%d%' OR cn.name LIKE '%d%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%F%' OR cn.name LIKE '%s%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%r%' OR cn.name LIKE '%s%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%y%' OR cn.name LIKE '%y%') AND cn.country_code != '[it]',1
cn,(cn.name LIKE '%t%' OR cn.name LIKE '%S%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%g%' OR cn.name LIKE '%M%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%o%' OR cn.name LIKE '%e%') AND cn.country_code != '[us]',2
cn,(cn.name LIKE '%d%' OR cn.name LIKE '%o%') AND cn.country_code != '[us]',2
cn,(cn.name LIKE '%a%' OR cn.name LIKE '%r%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%o%' OR cn.name LIKE '%o%') AND cn.country_code != '[us]',2
cn,(cn.name LIKE '%m%' OR cn.name LIKE '%d%') AND cn.country_code != '[us]',2
cn,(cn.name LIKE '%m%' OR cn.name LIKE '%T%') AND cn.country_code != '[us]',2
cn,(cn.name LIKE '%n%' OR cn.name LIKE '%l%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%n%' OR cn.name LIKE '%F%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%P%' OR cn.name LIKE '%t%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%m%' OR cn.name LIKE '%m%') AND cn.country_code != '[us]',2
cn,(cn.name LIKE '%F%' OR cn.name LIKE '%n%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%u%' OR cn.name LIKE '%l%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%n%' OR cn.name LIKE '%r%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%u%' OR cn.name LIKE '%i%') AND cn.country_code != '[ar]',1
cn,(cn.name LIKE '%d%' OR cn.name LIKE '%m%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%o%' OR cn.name LIKE '%a%') AND cn.country_code != '[us]',1
ct,ct.kind = 'production companies',49
ct,ct.kind = 'distributors',1
k,k.keyword = 'friendship',3
k,k.keyword = 'letter',1
k,k.keyword = 'terrorism',2
k,k.keyword = 'toilet',2
k,k.keyword = 'injection',2
k,k.keyword = 'immigration',2
k,k.keyword = 'apartment',1
k,k.keyword = 'news-report',1
k,k.keyword = 'wheelchair',2
k,k.keyword = 'dog',1
k,k.keyword = 'friend',1
k,k.keyword = 'airport',1
k,k.keyword = 'lsd',1
k,k.keyword = 'imagination',1
k,k.keyword = 'kicked-out-of-building',1
k,k.keyword = 'character-name-in-title',1
k,k.keyword = 'dinner',2
k,k.keyword = 'mccarthyism',1
k,k.keyword = 'football-practice',1
k,k.keyword = 'patriotism',1
k,k.keyword = 'priest',1
k,k.keyword = 'helicopter',2
k,k.keyword = 'product-placement',3
k,k.keyword = 'prostitute',2
k,k.keyword = 'protest-march',1
k,k.keyword = 'reference-to-the-buddha',1
k,k.keyword = 'military',1
k,k.keyword = 'police-arrest',1
k,k.keyword = 'closeted-homosexual',2
k,k.keyword = 'kiss',1
k,k.keyword = 'lesbian',1
k,k.keyword = 'reporter',1
k,k.keyword = 'prom',1
k,k.keyword = 'spy',1
k,k.keyword = 'beach',1
k,k.keyword = 'illegal-immigrant',1
k,k.keyword = 'falling-in-love',1
mi,"mi.info IN ('Iceland:12', 'Japan:30 March 1999', 'India:1963', 'Spain:26 June 1969', 'USA:April 1926')",1
mi,"mi.info IN ('$8,078,951 (USA) (7 October 2007)', 'Israel:28 July 2011', 'Denmark:April 1997', 'USA:16 April 2003', 'Spain:7 June 2009')",1
mi,"mi.info IN ('GuideStar: When you see something that looks like a frozen gallbladder, that''s Greenland.', 'India:10 June 2011', 'USA:24 October 1933', 'UK:20 November 1989', 'Japan:10 March 2008')",1
mi,"mi.info IN ('France:U', 'ID 5053', 'UK:4 September 1961', 'Egypt:28 May 2008', 'Estonia:2005')",1
mi,"mi.info IN ('$1,687,341 (USA) (28 October 2007) (964 screens)', 'UK:15 June 2004', 'USA:9 October 1994', 'Spain:22 April 2010', 'Chile:11 July 2012')",1
mi,"mi.info IN ('Drama', 'USA:8 February 1993', 'Spain:19 June 2003', 'Mexico:15 July 1966', 'MET:1471 m')",1
mi,"mi.info IN ('6 November 2011 -', 'Russia:27 June 2003', 'USA:7 February 1995', 'Sotho', 'Japan:25 June 1988')",1
mi,"mi.info IN ('In the film ""Yellow Submarine"" during the song ""Eleanor Rigby"" there is a man trapped in a phone booth. There is a scene in ""Across the Universe"" when Lucy is calling her mother and she becomes trapped in the phone booth during a riot.', 'MET:1655 m', 'UK:20 August 2002', 'Colombia:120', 'UK:26 March 2006')",1
mi,"mi.info IN ('The An-12B airplane shown at the beginning and end of the movie is owned and operated by Bright Aviation Services, based in Sofia, Bulgaria. Along with some other Bulgarian freight carriers, they are banned from operating in Norway, Iceland, Switzerland, and the European Union countries because of their safety record.', 'USA:19 January 1920', 'Watch us die !', 'India:6 May 2009', 'UK:21 January 2012')",1
mi,"mi.info IN ('12', 'UK:8 July 1974', 'Netherlands:1989', 'India:37', 'MET:3190 m')",1
mi,"mi.info IN ('When Jude returns to find that Lucy has gone, and sinks down to the floor in grief, a trumpet - very similar to the one Ringo holds on the cover of Sgt. Peppers Lonely Hearts Club Band - is leaning against the wall under the window.', 'UK:185', 'CAD 39,000', 'UK:6 September 2008', 'Japan:8 July 1961')",1
mi,"mi.info IN ('PFM:35 mm', 'Finland:1 May 1962', 'UK:July 1904', 'MET:488 m', 'Sweden:7 April 1941')",1
mi,"mi.info IN ('$23,317,663 (USA) (18 November 2007)', 'The Beast Returns', 'Hong Kong:120', 'JPY 10,000', 'USA:15 October 1969')",1
mi,"mi.info IN ('$8,078,951 (USA) (7 October 2007)', 'MET:3166 m', '14 October 1991 - ?', 'USA:14 October 1991', 'Finland:27 May 2009')",1
