Table,Condition,Frequency
cn,cn.country_code = '[tr]',3
cn,cn.country_code = '[es]',4
cn,cn.country_code = '[fi]',13
cn,cn.country_code = '[us]',11
cn,cn.country_code = '[br]',6
cn,cn.country_code = '[nl]',4
cn,cn.country_code = '[cshh]',1
cn,cn.country_code = '[gb]',3
cn,cn.country_code = '[no]',1
cn,cn.country_code = '[de]',1
cn,cn.country_code = '[jp]',2
cn,cn.country_code = '[se]',1
k,k.keyword = 'nude-with-a-gun',1
k,k.keyword = 'title-spoken-by-character',1
k,k.keyword = 'phone-booth',1
k,k.keyword = 'pie',1
k,k.keyword = 'inn',2
k,k.keyword = 'letter',1
k,k.keyword = 'pocket-watch',2
k,k.keyword = 'camp-counselor',2
k,k.keyword = 'prejudice',2
k,k.keyword = 'yelling-for-help',1
k,k.keyword = 'nobleman',3
k,k.keyword = 'degradation',2
k,k.keyword = 'grindhouse',1
k,k.keyword = 'public-domain',1
k,k.keyword = 'ring',2
k,k.keyword = 'psychopath',1
k,k.keyword = 'small-town',1
k,k.keyword = 'beer-garden',2
k,k.keyword = 'ship',2
k,k.keyword = 'disc-jockey',1
k,k.keyword = 'breaking-a-window',1
k,k.keyword = 'undercover-agent',1
k,k.keyword = 'paddy-wagon',2
k,k.keyword = 'montr̩al-quebec-canada',2
k,k.keyword = 'lloyds-of-london',1
k,k.keyword = 'toyota-corolla',1
k,k.keyword = 'siege',1
k,k.keyword = 'sea',1
k,k.keyword = 'milk',1
k,k.keyword = 'tulip',2
k,k.keyword = 'laurel-and-hardy',1
k,k.keyword = 'forbidden-love',1
k,k.keyword = 'adolescence',1
k,k.keyword = '1970s',1
k,k.keyword = 'attic',1
k,k.keyword = 'reference-to-jesus-christ',1
k,k.keyword = 'spaceship',1
n,n.name LIKE '%e%',8
n,n.name LIKE '%D%',4
n,n.name LIKE '%l%',1
n,n.name LIKE '%n%',5
n,n.name LIKE '%d%',4
n,n.name LIKE '%G%',1
n,n.name LIKE '%h%',3
n,n.name LIKE '%i%',2
n,"n.name LIKE '%,%'",2
n,n.name LIKE '%c%',1
n,n.name LIKE '%u%',1
n,n.name LIKE '%a%',2
n,n.name LIKE '%y%',3
n,n.name LIKE '%r%',3
n,n.name LIKE '%f%',2
n,n.name LIKE '%R%',1
n,n.name LIKE '%B%',2
n,n.name LIKE '%t%',1
n,n.name LIKE '%H%',1
n,n.name LIKE '%v%',1
n,n.name LIKE '%o%',1
n,n.name LIKE '%J%',1
