Table,Condition,Frequency
cn,cn.country_code = '[ca]',4
cn,cn.country_code = '[us]',18
cn,cn.country_code = '[de]',6
cn,cn.country_code = '[gb]',18
cn,cn.country_code = '[fr]',2
cn,cn.country_code = '[nz]',1
cn,cn.country_code = '[jp]',1
k,k.keyword = 'female-nudity',6
k,k.keyword = 'character-name-in-title',9
k,k.keyword = 'sex',13
k,k.keyword = 'homosexual',3
k,k.keyword = 'hardcore',9
k,k.keyword = 'independent-film',4
k,k.keyword = 'oral-sex',1
k,k.keyword = 'non-fiction',1
k,k.keyword = 'nudity',1
k,k.keyword = 'murder',1
k,k.keyword = 'suicide-by-hanging',1
k,k.keyword = 'love',1
n,n.name LIKE '%Leno%',1
n,n.name LIKE '%Jordi%',2
n,n.name LIKE '%Bell%',3
n,n.name LIKE '%Jack%',1
n,n.name LIKE '%Barker%',3
n,n.name LIKE '%James%',1
n,n.name LIKE '%Marco%',1
n,n.name LIKE '%Ben%',4
n,n.name LIKE '%Stephen%',6
n,n.name LIKE '%Bob%',3
n,n.name LIKE '%Gary%',1
n,n.name LIKE '%Miguel%',1
n,n.name LIKE '%Garrett%',1
n,n.name LIKE '%Collier%',1
n,n.name LIKE '%Jay%',3
n,n.name LIKE '%Mark%',1
n,n.name LIKE '%Burnett%',1
n,n.name LIKE '%Tony%',1
n,n.name LIKE '%Kimmel%',3
n,n.name LIKE '%David%',2
n,n.name LIKE '%Roger%',1
n,n.name LIKE '%Bradley%',1
n,n.name LIKE '%Bergeron%',1
n,n.name LIKE '%Dan%',1
n,n.name LIKE '%Jimmy%',1
n,n.name LIKE '%Antonio%',1
n,n.name LIKE '%Alberto%',1
n,n.name LIKE '%Stewart%',1
n,n.name LIKE '%Phil%',1
n,n.name LIKE '%Tom%',1
