Table,Condition,Frequency
ci,ci.note = '(story)',1
ci,ci.note = '(production assistant)',14
ci,ci.note = '(writer)',24
ci,ci.note = '(voice)',30
ci,ci.note = '(uncredited)',84
ci,ci.note = '(associate producer)',33
ci,ci.note = '(executive producer)',91
ci,ci.note = '(producer)',98
ci,ci.note = '(co-producer)',6
ci,ci.note = '(voice: English version)',2
ci,ci.note = '(archive footage)',8
ci,ci.note = '(script supervisor)',2
ci,ci.note = '(written by)',1
ci,ci.note = '(supervising producer)',4
ci,ci.note = '(creator)',1
ci,ci.note = '(deviser)',1
cn,cn.country_code = '[us]',365
cn,cn.country_code = '[ph]',2
cn,cn.country_code = '[br]',2
cn,cn.country_code = '[hu]',5
cn,cn.country_code = '[fi]',1
cn,cn.country_code = '[jp]',1
cn,cn.country_code = '[de]',16
cn,cn.country_code = '[gb]',2
cn,cn.country_code = '[nl]',1
cn,cn.country_code = '[it]',1
cn,cn.country_code = '[fr]',3
cn,cn.country_code = '[xyu]',1
mc,mc.note LIKE '%in%' AND mc.note NOT LIKE '%2005%',3
mc,mc.note LIKE '%media%' AND mc.note NOT LIKE '%in%',1
mc,mc.note LIKE '%USA%' AND mc.note NOT LIKE '%I%',1
mc,mc.note LIKE '%DVD%' AND mc.note NOT LIKE '%t%',2
mc,mc.note LIKE '%USA%' AND mc.note NOT LIKE '%2005%',3
mc,mc.note LIKE '%in%' AND mc.note NOT LIKE '%2009%',1
mc,mc.note LIKE '%2005%' AND mc.note NOT LIKE '%2012%',1
mc,mc.note LIKE '%2007%' AND mc.note NOT LIKE '%r%',1
mc,mc.note LIKE '%f%' AND mc.note NOT LIKE '%USA%',1
mc,mc.note LIKE '%i%' AND mc.note NOT LIKE '%t%',1
mc,mc.note LIKE '%association%' AND mc.note NOT LIKE '%DVD%',3
mc,mc.note LIKE '%USA%' AND mc.note NOT LIKE '%1915%',1
mc,mc.note LIKE '%theatrical%' AND mc.note NOT LIKE '%p%',2
mc,mc.note LIKE '%association%' AND mc.note NOT LIKE '%u%',1
mc,mc.note LIKE '%TV%' AND mc.note NOT LIKE '%theatrical%',3
mc,mc.note LIKE '%USA%' AND mc.note NOT LIKE '%theatrical%',2
mc,mc.note LIKE '%Philippines%' AND mc.note NOT LIKE '%production%',1
mc,mc.note LIKE '%in%' AND mc.note NOT LIKE '%2007%',5
mc,mc.note LIKE '%Hungary%' AND mc.note NOT LIKE '%production%',1
mc,mc.note LIKE '%USA%' AND mc.note NOT LIKE '%Netherlands%',1
mc,mc.note LIKE '%USA%' AND mc.note NOT LIKE '%association%',6
mc,mc.note LIKE '%2006%' AND mc.note NOT LIKE '%2011%',1
mc,mc.note LIKE '%VHS%' AND mc.note NOT LIKE '%2012%',1
mc,mc.note LIKE '%DVD%' AND mc.note NOT LIKE '%association%',2
mc,mc.note LIKE '%2008%' AND mc.note NOT LIKE '%TV%',1
mc,mc.note LIKE '%s%' AND mc.note NOT LIKE '%TV%',2
mc,mc.note LIKE '%p%' AND mc.note NOT LIKE '%USA%',2
mc,mc.note LIKE '%1958%' AND mc.note NOT LIKE '%theatrical%',1
mc,mc.note LIKE '%e%' AND mc.note NOT LIKE '%production%',1
mc,mc.note LIKE '%with%' AND mc.note NOT LIKE '%2003%',1
mc,mc.note LIKE '%DVD%' AND mc.note NOT LIKE '%S%',1
mc,mc.note LIKE '%DVD%' AND mc.note NOT LIKE '%1980%',1
mc,mc.note LIKE '%DVD%' AND mc.note NOT LIKE '%in%',2
mc,mc.note LIKE '%in%' AND mc.note NOT LIKE '%USA%',3
mc,mc.note LIKE '%co%' AND mc.note NOT LIKE '%2005%',1
mc,mc.note LIKE '%USA%' AND mc.note NOT LIKE '%production%',3
mc,mc.note LIKE '%i%' AND mc.note NOT LIKE '%VHS%',1
mc,mc.note LIKE '%2000%' AND mc.note NOT LIKE '%u%',1
mc,mc.note LIKE '%2002%' AND mc.note NOT LIKE '%TV%',1
mc,mc.note LIKE '%USA%' AND mc.note NOT LIKE '%Spain%',1
mc,mc.note LIKE '%2011%' AND mc.note NOT LIKE '%with%',1
mc,mc.note LIKE '%r%' AND mc.note NOT LIKE '%2007%',1
mc,mc.note LIKE '%2007%' AND mc.note NOT LIKE '%co%',1
mc,mc.note LIKE '%DVD%' AND mc.note NOT LIKE '%e%',3
mc,mc.note LIKE '%theatrical%' AND mc.note NOT LIKE '%worldwide%',2
mc,mc.note LIKE '%n%' AND mc.note NOT LIKE '%TV%',1
mc,mc.note LIKE '%2008%' AND mc.note NOT LIKE '%media%',1
mc,mc.note LIKE '%association%' AND mc.note NOT LIKE '%USA%',3
