Table,Condition,Frequency
mc,(mc.note LIKE '%n%' OR mc.note LIKE '%c%'),1
mc,(mc.note LIKE '%g%' OR mc.note LIKE '%a%'),1
mc,(mc.note LIKE '%d%' OR mc.note LIKE '%V%'),1
mc,(mc.note LIKE '%1%' OR mc.note LIKE '%t%'),1
mc,(mc.note LIKE '%s%' OR mc.note LIKE '%d%'),1
mc,(mc.note LIKE '%4%' OR mc.note LIKE '%n%'),1
mc,(mc.note LIKE '%(%' OR mc.note LIKE '%)%'),1
mc,(mc.note LIKE '%(%' OR mc.note LIKE '%1%'),2
mc,(mc.note LIKE '%0%' OR mc.note LIKE '%1%'),1
mc,(mc.note LIKE '%a%' OR mc.note LIKE '%)%'),1
mc,(mc.note LIKE '%1%' OR mc.note LIKE '%1%'),1
mc,(mc.note LIKE '%l%' OR mc.note LIKE '%a%'),2
mc,(mc.note LIKE '%2%' OR mc.note LIKE '%m%'),1
mc,(mc.note LIKE '%c%' OR mc.note LIKE '%t%'),1
mc,(mc.note LIKE '%u%' OR mc.note LIKE '%i%'),1
mc,(mc.note LIKE '%V%' OR mc.note LIKE '%S%'),1
mc,(mc.note LIKE '%(%' OR mc.note LIKE '%V%'),1
mc,(mc.note LIKE '%a%' OR mc.note LIKE '%t%'),1
mc,(mc.note LIKE '%4%' OR mc.note LIKE '%4%'),1
mc,(mc.note LIKE '%u%' OR mc.note LIKE '%1%'),1
mc,(mc.note LIKE '%2%' OR mc.note LIKE '%V%'),1
mc,(mc.note LIKE '%a%' OR mc.note LIKE '%d%'),1
mc,(mc.note LIKE '%V%' OR mc.note LIKE '%(%'),1
mc,(mc.note LIKE '%d%' OR mc.note LIKE '%e%'),2
mc,(mc.note LIKE '%c%' OR mc.note LIKE '%d%'),1
mc,(mc.note LIKE '%4%' OR mc.note LIKE '%0%'),1
mc,(mc.note LIKE '%n%' OR mc.note LIKE '%S%'),1
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%0%'),2
mc,(mc.note LIKE '%d%' OR mc.note LIKE '%i%'),1
