Table,Condition,Frequency
mc,(mc.note LIKE '%(USA)%' OR mc.note LIKE '%(theatrical)%'),1
mc,(mc.note LIKE '%(co-production)%' OR mc.note LIKE '%(worldwide)%'),1
mc,(mc.note LIKE '%(worldwide)%' OR mc.note LIKE '%(200%)%'),1
mc,(mc.note LIKE '%(worldwide)%' OR mc.note LIKE '%(France)%'),1
mc,(mc.note LIKE '%(theatrical)%' OR mc.note LIKE '%(co-production)%'),2
mc,(mc.note LIKE '%(200%)%' OR mc.note LIKE '%(Japan)%'),2
mc,(mc.note LIKE '%(Japan)%' OR mc.note LIKE '%(200%)%'),3
mc,(mc.note LIKE '%(Japan)%' OR mc.note LIKE '%(Blu-ray)%'),1
mc,(mc.note LIKE '%(USA)%' OR mc.note LIKE '%(200%)%'),2
mc,(mc.note LIKE '%(worldwide)%' OR mc.note LIKE '%(theatrical)%'),1
mc,(mc.note LIKE '%(VHS)%' OR mc.note LIKE '%(USA)%'),1
mc,(mc.note LIKE '%(Blu-ray)%' OR mc.note LIKE '%(Japan)%'),1
mc,(mc.note LIKE '%(VHS)%' OR mc.note LIKE '%(2007)%'),2
mc,(mc.note LIKE '%(co-production)%' OR mc.note LIKE '%(2007)%'),1
mc,(mc.note LIKE '%(2006)%' OR mc.note LIKE '%(USA)%'),1
mc,(mc.note LIKE '%(worldwide)%' OR mc.note LIKE '%(USA)%'),1
mc,(mc.note LIKE '%(Japan)%' OR mc.note LIKE '%(USA)%'),2
mc,(mc.note LIKE '%(200%)%' OR mc.note LIKE '%(worldwide)%'),1
mc,(mc.note LIKE '%(presents)%' OR mc.note LIKE '%(VHS)%'),1
mc,(mc.note LIKE '%(2007)%' OR mc.note LIKE '%(200%)%'),1
mc,(mc.note LIKE '%(USA)%' OR mc.note LIKE '%(VHS)%'),2
mc,(mc.note LIKE '%(USA)%' OR mc.note LIKE '%(2007)%'),1
mc,(mc.note LIKE '%(USA)%' OR mc.note LIKE '%(Japan)%'),1
mc,(mc.note LIKE '%(France)%' OR mc.note LIKE '%(presents)%'),1
mc,(mc.note LIKE '%(Blu-ray)%' OR mc.note LIKE '%(2006)%'),1
mc,(mc.note LIKE '%(200%)%' OR mc.note LIKE '%(2006)%'),1
mc,(mc.note LIKE '%(worldwide)%' OR mc.note LIKE '%(co-production)%'),5
mc,(mc.note LIKE '%(co-production)%' OR mc.note LIKE '%(200%)%'),1
mc,(mc.note LIKE '%(France)%' OR mc.note LIKE '%(Blu-ray)%'),1
mc,(mc.note LIKE '%(VHS)%' OR mc.note LIKE '%(co-production)%'),1
mc,(mc.note LIKE '%(worldwide)%' OR mc.note LIKE '%(VHS)%'),1
mc,(mc.note LIKE '%(France)%' OR mc.note LIKE '%(VHS)%'),1
mc,(mc.note LIKE '%(Blu-ray)%' OR mc.note LIKE '%(co-production)%'),1
mc,(mc.note LIKE '%(200%)%' OR mc.note LIKE '%(Blu-ray)%'),3
mc,(mc.note LIKE '%(VHS)%' OR mc.note LIKE '%(worldwide)%'),1
mc,(mc.note LIKE '%(Blu-ray)%' OR mc.note LIKE '%(VHS)%'),1
mi,(mi.info LIKE 'USA:%200%' OR mi.info LIKE 'Japan:%201%'),1
mi,(mi.info LIKE 'USA:% 200%' OR mi.info LIKE 'Japan:%200%'),1
mi,(mi.info LIKE 'USA:%200%' OR mi.info LIKE 'USA:% 200%'),7
mi,(mi.info LIKE 'Japan:%200%' OR mi.info LIKE 'USA:%200%'),2
mi,(mi.info LIKE 'USA:% 199%' OR mi.info LIKE 'USA:% 200%'),3
mi,(mi.info LIKE 'USA:% 200%' OR mi.info LIKE 'USA:% 199%'),2
mi,(mi.info LIKE 'USA:% 200%' OR mi.info LIKE 'USA:%200%'),2
mi,(mi.info LIKE 'USA:%2008%' OR mi.info LIKE 'Japan:%2007%'),1
mi,(mi.info LIKE 'USA:% 199%' OR mi.info LIKE 'USA:%200%'),4
mi,(mi.info LIKE 'USA:% 199%' OR mi.info LIKE 'Japan:%201%'),1
mi,(mi.info LIKE 'USA:%2008%' OR mi.info LIKE 'USA:%200%'),4
mi,(mi.info LIKE 'USA:% 200%' OR mi.info LIKE 'Japan:%201%'),3
mi,(mi.info LIKE 'Japan:%200%' OR mi.info LIKE 'Japan:%201%'),1
mi,(mi.info LIKE 'USA:%200%' OR mi.info LIKE 'Japan:%200%'),1
mi,(mi.info LIKE 'USA:%201%' OR mi.info LIKE 'USA:% 200%'),1
mi,(mi.info LIKE 'USA:%2008%' OR mi.info LIKE 'Japan:%201%'),1
mi,(mi.info LIKE 'USA:% 199%' OR mi.info LIKE 'USA:%201%'),1
mi,(mi.info LIKE 'USA:%201%' OR mi.info LIKE 'Japan:%201%'),1
mi,(mi.info LIKE 'USA:% 199%' OR mi.info LIKE 'Japan:%200%'),1
mi,(mi.info LIKE 'Japan:%201%' OR mi.info LIKE 'USA:%200%'),1
mi,(mi.info LIKE 'USA:%201%' OR mi.info LIKE 'Japan:%2007%'),1
mi,(mi.info LIKE 'Japan:%200%' OR mi.info LIKE 'USA:%201%'),1
mi,(mi.info LIKE 'USA:%2008%' OR mi.info LIKE 'USA:% 200%'),1
mi,(mi.info LIKE 'Japan:%200%' OR mi.info LIKE 'USA:% 200%'),1
mi,(mi.info LIKE 'USA:% 200%' OR mi.info LIKE 'USA:%2008%'),2
mi,(mi.info LIKE 'Japan:%2007%' OR mi.info LIKE 'USA:% 200%'),1
mi,(mi.info LIKE 'USA:%200%' OR mi.info LIKE 'USA:%201%'),1
mi,(mi.info LIKE 'USA:%200%' OR mi.info LIKE 'USA:% 199%'),1
mi,(mi.info LIKE 'Japan:%201%' OR mi.info LIKE 'USA:% 200%'),1
mi,(mi.info LIKE 'Japan:%201%' OR mi.info LIKE 'USA:%201%'),1
ci,"ci.note IN ('(voice)', '(voice) (uncredited)', '(voice: English version)')",6
ci,"ci.note IN ('(voice)', '(voice: Japanese version)', '(voice) (uncredited)', '(voice: English version)')",41
ci,"ci.note IN ('(writer)', '(head writer)', '(written by)', '(story)', '(story editor)')",3
cn,cn.country_code = '[us]',45
cn,cn.country_code = '[jp]',3
cn,cn.country_code = '[nl]',1
cn,cn.country_code = '[ru]',1
it_mi,it.info = 'release dates',50
n,n.gender = 'm' AND n.name LIKE '%S%',1
n,n.gender = 'm' AND n.name LIKE 'K%',1
n,n.gender = 'm' AND n.name LIKE '%L%',2
n,n.gender = 'm' AND n.name LIKE 'A%',2
n,n.gender = 'm' AND n.name LIKE 'I%',1
n,n.gender = 'm' AND n.name LIKE 'F%',5
n,n.gender = 'm' AND n.name LIKE '%F%',2
n,n.gender = 'm' AND n.name LIKE '%J%',3
n,n.gender = 'm' AND n.name LIKE '%H%',1
n,n.gender = 'm' AND n.name LIKE '%M%',2
n,n.gender = 'm' AND n.name LIKE 'G%',4
n,n.gender = 'm' AND n.name LIKE '%C%',1
n,n.gender = 'm' AND n.name LIKE '%T%',3
n,n.gender = 'm' AND n.name LIKE '%Yo%',1
n,n.gender = 'm' AND n.name LIKE '%Q%',2
n,n.gender = 'm' AND n.name LIKE '%B%',3
n,n.gender = 'm' AND n.name LIKE '%P%',2
n,n.gender = 'm' AND n.name LIKE 'C%',2
n,n.gender = 'm' AND n.name LIKE 'L%',3
n,n.gender = 'm' AND n.name LIKE 'D%',1
n,n.gender = 'm' AND n.name LIKE '%K%',2
n,n.gender = 'm' AND n.name LIKE '%Z%',1
n,n.gender = 'm' AND n.name LIKE '%G%',1
n,n.gender = 'm' AND n.name LIKE '%An%',1
n,n.gender = 'm' AND n.name LIKE '%A%',1
n,n.gender = 'm' AND n.name LIKE 'B%',1
n,n.gender = 'm' AND n.name LIKE '%D%',1
rt,rt.role = 'actor',50
t,t.production_year > 1950 AND t.production_year < 2010,3
t,t.production_year > 2000 AND t.production_year < 2010,11
t,t.production_year > 2005 AND t.production_year < 2014,3
t,t.production_year > 1990 AND t.production_year < 2010,2
t,t.production_year > 2005 AND t.production_year < 2007,1
t,t.production_year > 2005 AND t.production_year < 2010,3
t,t.production_year > 1990 AND t.production_year < 2008,2
t,t.production_year > 2005 AND t.production_year < 2015,2
t,t.production_year > 2000 AND t.production_year < 2008,6
t,t.production_year > 1990 AND t.production_year < 2014,1
t,t.production_year > 2000 AND t.production_year < 2014,4
t,t.production_year > 1950 AND t.production_year < 2005,2
t,t.production_year > 1950 AND t.production_year < 2015,1
t,t.production_year > 1950 AND t.production_year < 2007,1
t,t.production_year > 2000 AND t.production_year < 2015,3
t,t.production_year > 1990 AND t.production_year < 2005,1
t,t.production_year > 2000 AND t.production_year < 2005,1
t,t.production_year > 2005 AND t.production_year < 2008,1
t,t.production_year > 1990 AND t.production_year < 2000,1
t,t.production_year > 1990 AND t.production_year < 2015,1
