Table,Condition,Frequency
k,k.keyword = 'disappearance-of-one''s-husband',1
k,k.keyword = 'nobility',1
k,k.keyword = 'chase',1
k,k.keyword = 'diabetes',1
k,k.keyword = 'unrequited-love',1
k,k.keyword = 'tree',1
k,k.keyword = 'nazi',1
k,k.keyword = 'character-name-in-title',1
k,k.keyword = 'inn',1
k,k.keyword = 'person-on-fire',1
k,k.keyword = 'mother-daughter-relationship',1
k,k.keyword = 'blockbuster',1
k,k.keyword = 'vodka',1
k,k.keyword = 'cassette-player',1
k,k.keyword = 'reference-to-jimmy-carter',1
k,k.keyword = 'burning-book',1
k,k.keyword = 'based-on-book',1
k,k.keyword = 'title-spoken-by-character',1
k,k.keyword = 'haunted-by-the-past',1
k,k.keyword = 'sportscaster',1
k,k.keyword = 'uniform',1
k,k.keyword = 'confrontation',1
k,k.keyword = 'father-son-relationship',1
k,k.keyword = 'banker',1
k,k.keyword = 'fight',1
k,k.keyword = 'fishing',1
k,k.keyword = 'street-life',1
k,k.keyword = 'best-friend',1
k,k.keyword = 'cinematographer',1
k,k.keyword = 'black-and-white-scene',1
k,k.keyword = 'sex',1
k,k.keyword = 'escort-service',1
k,k.keyword = 'hare',1
k,k.keyword = 'interracial-sex',1
k,k.keyword = 'divorce',1
k,k.keyword = 'soccer-field',1
k,k.keyword = 'fame',1
k,k.keyword = 'sword-fight',1
k,k.keyword = 'hitman',1
k,k.keyword = 'farmer',1
k,k.keyword = 'cafe',1
k,k.keyword = 'miami-florida',1
k,k.keyword = 'undercover',1
k,k.keyword = 'reference-to-philadelphia-eagles',1
k,k.keyword = 'grandfather-granddaughter-relationship',1
k,k.keyword = 'based-on-novel',1
k,k.keyword = 'merman',1
k,k.keyword = 'karaoke',1
k,k.keyword = 'big-family',1
k,k.keyword = 'pistol',1
n,n.name LIKE '%n%',4
n,n.name LIKE '%a%',5
n,n.name LIKE '%A%',2
n,n.name LIKE '%i%',5
n,n.name LIKE '%G%',1
n,n.name LIKE '%o%',1
n,n.name LIKE '%r%',5
n,n.name LIKE '%H%',2
n,n.name LIKE '%Y%',1
n,n.name LIKE '%s%',3
n,n.name LIKE '%m%',1
n,n.name LIKE '%f%',1
n,n.name LIKE '%y%',4
n,n.name LIKE '%N%',1
n,n.name LIKE '%w%',1
n,n.name LIKE '%e%',3
n,n.name LIKE '%b%',1
n,n.name LIKE '%M%',1
n,n.name LIKE '%h%',1
n,n.name LIKE '%g%',1
n,n.name LIKE '%c%',1
n,n.name LIKE '%T%',1
n,n.name LIKE '%p%',1
n,n.name LIKE '%t%',1
n,"n.name LIKE '%,%'",2
t,t.production_year > 2006,2
t,t.production_year > 1933,1
t,t.production_year > 1966,1
t,t.production_year > 1999,2
t,t.production_year > 1938,2
t,t.production_year > 2009,6
t,t.production_year > 1990,2
t,t.production_year > 1979,2
t,t.production_year > 1995,1
t,t.production_year > 1994,1
t,t.production_year > 2010,5
t,t.production_year > 1998,1
t,t.production_year > 2008,5
t,t.production_year > 1991,2
t,t.production_year > 2003,3
t,t.production_year > 1967,1
t,t.production_year > 2001,1
t,t.production_year > 2000,1
t,t.production_year > 1993,1
t,t.production_year > 2005,2
t,t.production_year > 1973,1
t,t.production_year > 2011,2
t,t.production_year > 2004,1
t,t.production_year > 2007,1
t,t.production_year > 1996,1
t,t.production_year > 1918,1
t,t.production_year > 2002,1
