Table,Condition,Frequency
cn,(cn.name LIKE '%Film%' OR cn.name LIKE '%Warner%') AND cn.country_code != '[us]',3
cn,(cn.name LIKE 'Twentieth Century Fox%' OR cn.name LIKE 'Lionsgate%') AND cn.country_code != '[pl]',3
cn,(cn.name LIKE '20th Century Fox%' OR cn.name LIKE 'Lionsgate%') AND cn.country_code != '[pl]',1
cn,(cn.name LIKE '20th Century Fox%' OR cn.name LIKE 'Twentieth Century Fox%') AND cn.country_code != '[pl]',1
cn,(cn.name LIKE 'Lionsgate%' OR cn.name LIKE '%Film%') AND cn.country_code != '[pl]',6
cn,(cn.name LIKE 'Twentieth Century Fox%' OR cn.name LIKE '%Film%') AND cn.country_code != '[us]',3
cn,(cn.name LIKE '%Film%' OR cn.name LIKE '%Warner%') AND cn.country_code != '[pl]',7
cn,(cn.name LIKE '20th Century Fox%' OR cn.name LIKE '%Film%') AND cn.country_code != '[pl]',4
cn,(cn.name LIKE '%Film%' OR cn.name LIKE 'Lionsgate%') AND cn.country_code != '[pl]',4
cn,(cn.name LIKE 'Lionsgate%' OR cn.name LIKE '20th Century Fox%') AND cn.country_code != '[pl]',1
cn,(cn.name LIKE 'Twentieth Century Fox%' OR cn.name LIKE '%Warner%') AND cn.country_code != '[pl]',1
cn,(cn.name LIKE '%Warner%' OR cn.name LIKE 'Lionsgate%') AND cn.country_code != '[pl]',4
cn,(cn.name LIKE 'Lionsgate%' OR cn.name LIKE '%Film%') AND cn.country_code != '[us]',3
cn,(cn.name LIKE '%Warner%' OR cn.name LIKE '%Film%') AND cn.country_code != '[us]',3
cn,(cn.name LIKE 'Lionsgate%' OR cn.name LIKE '%Warner%') AND cn.country_code != '[pl]',1
cn,(cn.name LIKE 'Twentieth Century Fox%' OR cn.name LIKE '%Film%') AND cn.country_code != '[pl]',2
cn,(cn.name LIKE '%Film%' OR cn.name LIKE '20th Century Fox%') AND cn.country_code != '[pl]',1
cn,(cn.name LIKE '%Warner%' OR cn.name LIKE '%Film%') AND cn.country_code != '[pl]',1
cn,(cn.name LIKE '%Warner%' OR cn.name LIKE '20th Century Fox%') AND cn.country_code != '[pl]',1
ct,ct.kind = 'production companies',49
ct,ct.kind = 'distributors',1
k,k.keyword = 'sequel',20
k,k.keyword = 'character-name-in-title',30
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German')",7
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'USA', 'American')",8
mi,"mi.info IN ('Drama', 'Horror', 'Western', 'Family')",3
mi,"mi.info IN ('USA', 'America')",2
mi,"mi.info IN ('Drama', 'Horror')",2
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'English')",3
mi,"mi.info IN ('Horror', 'Thriller')",2
mi,"mi.info IN ('Sweden', 'Germany', 'Swedish', 'German')",6
mi,"mi.info IN ('Horror', 'Action', 'Sci-Fi', 'Thriller', 'Crime', 'War')",11
mi,"mi.info IN ('Germany', 'German', 'USA', 'American')",4
mi,"mi.info IN ('Germany', 'German')",2
t,t.production_year > 1990 AND t.production_year < 2015,2
t,t.production_year > 1950 AND t.production_year < 2010,9
t,t.production_year > 1950 AND t.production_year < 2007,3
t,t.production_year > 1990 AND t.production_year < 2008,3
t,t.production_year > 1990 AND t.production_year < 2007,3
t,t.production_year > 1990 AND t.production_year < 2010,15
t,t.production_year > 1990 AND t.production_year < 2005,2
t,t.production_year > 1990 AND t.production_year < 2014,4
t,t.production_year > 1990 AND t.production_year < 2000,3
t,t.production_year > 1950 AND t.production_year < 2008,2
t,t.production_year > 1950 AND t.production_year < 2005,1
t,t.production_year > 1950 AND t.production_year < 2015,1
t,t.production_year > 1950 AND t.production_year < 1984,2
