["(mi.info LIKE '%n%' OR mi.info LIKE '%h%')", "ci.note IN ('(voice)', '(voice)', '(actors director)', '(voice)', '(adprom manager)')", "cn.country_code = '[fr]'", "it.info = 'countries'", "k.keyword IN ('independent-film', 'independent-film', 'based-on-novel', 'based-on-novel', 'based-on-novel')", "n.gender = 'm' AND n.name LIKE '%Joe%'", "rt.role = 'actor'", "t.production_year > 1976"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%S%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'genres'", "k.keyword IN ('based-on-novel', 'independent-film', 'independent-film', 'based-on-novel', 'independent-film')", "n.gender = 'm' AND n.name LIKE '%Hans%'", "rt.role = 'actor'", "t.production_year > 1953"],
["(mi.info LIKE '%33%' OR mi.info LIKE '%S%')", "ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(voice)')", "cn.country_code = '[fr]'", "it.info = 'release dates'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "n.gender = 'm' AND n.name LIKE '%M%'", "rt.role = 'actor'", "t.production_year > 1998"],
["(mi.info LIKE '%h%' OR mi.info LIKE '%S%')", "ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(voice)')", "cn.country_code = '[fr]'", "it.info = 'countries'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "n.gender = 'm' AND n.name LIKE '%Frank%'", "rt.role = 'actor'", "t.production_year > 2006"],
["(mi.info LIKE '%e%' OR mi.info LIKE '%m%')", "ci.note IN ('(uncredited)', '(executive producer)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'countries'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "n.gender = 'm' AND n.name LIKE '%Joe%'", "rt.role = 'actor'", "t.production_year > 2006"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%i%')", "ci.note IN ('(script supervisor)', '(co-producer)', '(production coordinator)', '(uncredited)', '(production coordinator)')", "cn.country_code = '[us]'", "it.info = 'genres'", "k.keyword IN ('murder', 'murder', 'murder', 'female-nudity', 'murder')", "n.gender = 'm' AND n.name LIKE '%Peter%'", "rt.role = 'actor'", "t.production_year > 2012"],
["(mi.info LIKE '%i%' OR mi.info LIKE '%U%')", "ci.note IN ('(uncredited)', '(co-producer)', '(executive producer)', '(voice)', '(executive producer)')", "cn.country_code = '[us]'", "it.info = 'genres'", "k.keyword IN ('friendship', 'family-relationships', 'oral-sex', 'revenge', 'number-in-title')", "n.gender = 'm' AND n.name LIKE '%Jos̩%'", "rt.role = 'actor'", "t.production_year > 1991"],
["(mi.info LIKE '%l%' OR mi.info LIKE '%Jurgen%')", "ci.note IN ('(as Che Concepcion)', '(location coordinator)', '(uncredited)', '(production assistant)', '(Speaker)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "k.keyword IN ('murder', 'murder', 'female-nudity', 'murder', 'murder')", "n.gender = 'm' AND n.name LIKE '%Bishop%'", "rt.role = 'actor'", "t.production_year > 1963"],
["(mi.info LIKE '%A%' OR mi.info LIKE '%33%')", "ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'countries'", "k.keyword IN ('male-nudity', 'bare-breasts', 'number-in-title', 'anal-sex', 'friendship')", "n.gender = 'm' AND n.name LIKE '%Armand%'", "rt.role = 'actor'", "t.production_year > 1998"],
["(mi.info LIKE '%fool%' OR mi.info LIKE '%d%')", "ci.note IN ('(voice)', '(uncredited)', '(uncredited)', '(production assistant)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "n.gender = 'm' AND n.name LIKE '%Parker%'", "rt.role = 'actor'", "t.production_year > 1998"],
["(mi.info LIKE '%E%' OR mi.info LIKE '%White%')", "ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('revenge', 'police', 'nudity', 'nudity', 'love')", "n.gender = 'm' AND n.name LIKE '%Christopher%'", "rt.role = 'actor'", "t.production_year > 1946"],
