Table,Condition,Frequency
cn,cn.country_code = '[us]',24
cn,cn.country_code = '[de]',10
cn,cn.country_code = '[gb]',4
cn,cn.country_code = '[fr]',11
cn,cn.country_code = '[ie]',1
k,k.keyword = 'tv-mini-series',1
k,k.keyword = 'female-nudity',5
k,k.keyword = 'sex',6
k,k.keyword = 'independent-film',4
k,k.keyword = 'police',1
k,k.keyword = 'violence',1
k,k.keyword = 'male-nudity',1
k,k.keyword = 'hardcore',6
k,k.keyword = 'murder',5
k,k.keyword = 'character-name-in-title',9
k,k.keyword = 'bare-chested-male',1
k,k.keyword = 'based-on-novel',6
k,k.keyword = 'surrealism',1
k,k.keyword = 'sequel',1
k,k.keyword = 'father-son-relationship',1
k,k.keyword = 'love',1
n,n.name LIKE '%Boyd%',3
n,n.name LIKE '%Anthony%',1
n,n.name LIKE '%Leno%',3
n,n.name LIKE '%Bob%',4
n,n.name LIKE '%Matt%',1
n,n.name LIKE '%Roger%',1
n,n.name LIKE '%Jim%',2
n,n.name LIKE '%Dee%',2
n,n.name LIKE '%Freeman%',1
n,n.name LIKE '%Letterman%',1
n,n.name LIKE '%Bradley%',4
n,n.name LIKE '%Ben%',1
n,n.name LIKE '%Jay%',2
n,n.name LIKE '%K%',1
n,n.name LIKE '%Delgado%',2
n,n.name LIKE '%Barker%',3
n,n.name LIKE '%Hartwig%',1
n,n.name LIKE '%Mike%',1
n,n.name LIKE '%Jr%',1
n,n.name LIKE '%David%',1
n,n.name LIKE '%Bell%',1
n,n.name LIKE '%Christopher%',1
n,n.name LIKE '%TomÃ¡s%',1
n,n.name LIKE '%Burk%',1
n,n.name LIKE '%Carey%',1
n,n.name LIKE '%Craig%',2
n,n.name LIKE '%Blum%',1
n,n.name LIKE '%Griffin%',1
n,n.name LIKE '%Laurent%',1
n,n.name LIKE '%Mel%',1
n,n.name LIKE '%Del%',1
n,n.name LIKE '%Adler%',1
n,n.name LIKE '%Stephen%',1
