Table,Condition,Frequency
cn,cn.country_code = '[us]',46
cn,cn.country_code = '[ru]',1
cn,cn.country_code = '[nl]',2
cn,cn.country_code = '[jp]',1
k,k.keyword = 'computer-animation',6
k,k.keyword = 'sequel',17
k,k.keyword = 'character-name-in-title',23
k,k.keyword = 'marvel-cinematic-universe',4
n,n.name LIKE '%K%',2
n,n.name LIKE '%Downey%Robert%',1
n,n.name LIKE '%A%',2
n,n.name LIKE '%An%',1
n,n.name LIKE '%H%',1
n,n.name LIKE '%Yo%',1
n,n.name LIKE '%J%',2
n,n.name LIKE 'D%',2
n,n.name LIKE '%R%',1
n,n.name LIKE '%E%',1
n,n.name LIKE '%Ang%',2
n,n.name LIKE 'E%',3
n,n.name LIKE '%Y%',2
n,n.name LIKE 'K%',3
n,n.name LIKE '%U%',1
n,n.name LIKE '%Bert%',1
n,n.name LIKE '%X%',3
n,n.name LIKE 'F%',3
n,n.name LIKE '%Angel%',1
n,n.name LIKE '%G%',1
n,n.name LIKE '%Z%',1
n,n.name LIKE '%Tim%',1
n,n.name LIKE 'B%',3
n,n.name LIKE 'L%',1
n,n.name LIKE '%M%',1
n,n.name LIKE '%W%',1
n,n.name LIKE '%L%',1
n,n.name LIKE 'A%',3
n,n.name LIKE '%B%',2
n,n.name LIKE '%D%',1
n,n.name LIKE '%T%',1
