Table,Condition,Frequency
cn,cn.country_code = '[us]',45
cn,cn.country_code = '[nl]',3
cn,cn.country_code = '[jp]',1
cn,cn.country_code = '[ru]',1
k,k.keyword = 'sequel',18
k,k.keyword = 'marvel-cinematic-universe',5
k,k.keyword = 'computer-animation',4
k,k.keyword = 'character-name-in-title',23
n,n.name LIKE '%Bert%',1
n,n.name LIKE '%E%',1
n,n.name LIKE 'K%',4
n,n.name LIKE '%Y%',2
n,n.name LIKE 'A%',3
n,n.name LIKE '%T%',1
n,n.name LIKE '%Angel%',1
n,n.name LIKE 'F%',3
n,n.name LIKE '%Tim%',1
n,n.name LIKE 'D%',3
n,n.name LIKE '%G%',2
n,n.name LIKE '%J%',2
n,n.name LIKE '%H%',1
n,n.name LIKE '%Downey%Robert%',1
n,n.name LIKE '%B%',2
n,n.name LIKE 'L%',1
n,n.name LIKE '%U%',1
n,n.name LIKE '%L%',1
n,n.name LIKE '%S%',1
n,n.name LIKE '%K%',1
n,n.name LIKE '%R%',1
n,n.name LIKE '%An%',1
n,n.name LIKE 'B%',4
n,n.name LIKE 'E%',2
n,n.name LIKE '%A%',2
n,n.name LIKE '%Ang%',2
n,n.name LIKE 'H%',1
n,n.name LIKE '%M%',1
n,n.name LIKE '%X%',1
n,n.name LIKE '%W%',1
n,n.name LIKE '%D%',1
