Table,Condition,Frequency
ci,"ci.note IN ('(writer)', '(head writer)', '(written by)', '(story)', '(story editor)')",157
ci,"ci.note IN ('(voice)', '(voice: Japanese version)', '(voice) (uncredited)', '(voice: English version)')",198
ci,"ci.note IN ('(producer)', '(executive producer)')",20
ci,"ci.note IN ('(voice)', '(voice) (uncredited)', '(voice: English version)')",25
it_mi,it.info = 'budget',16
it_mi,it.info = 'release dates',168
it_mi,it.info = 'genres',129
it_mi,it.info = 'countries',87
it_miidx,it.info = 'rating',295
it_miidx,it.info = 'top 250 rank',8
it_miidx,it.info = 'votes',95
it_miidx,it.info = 'bottom 10 rank',2
n,n.gender = 'f' and n.name LIKE 'J%',2
n,n.gender = 'm' and n.name LIKE 'B%',12
n,n.gender = 'f' and n.name LIKE '%B%',10
n,n.gender = 'm' and n.name LIKE '%Downey%Robert%',18
n,n.gender = 'm' and n.name LIKE '%P%',4
n,n.gender = 'f' and n.name LIKE '%S%',3
n,n.gender = 'm' and n.name LIKE '%L%',4
n,n.gender = 'm' and n.name LIKE 'G%',7
n,n.gender = 'f' and n.name LIKE 'P%',5
n,n.gender = 'm' and n.name LIKE '%T%',7
n,n.gender = 'm' and n.name LIKE 'I%',2
n,n.gender = 'm' and n.name LIKE '%N%',3
n,n.gender = 'm' and n.name LIKE 'C%',7
n,n.gender = 'f' and n.name LIKE 'B%',14
n,n.gender = 'f' and n.name LIKE '%Z%',1
n,n.gender = 'm' and n.name LIKE '%J%',4
n,n.gender = 'f' and n.name LIKE '%X%',5
n,n.gender = 'm' and n.name LIKE 'K%',8
n,n.gender = 'm' and n.name LIKE '%Yo%',6
n,n.gender = 'm' and n.name LIKE 'Z%',12
n,n.gender = 'f' and n.name LIKE '%R%',3
n,n.gender = 'm' and n.name LIKE 'J%',5
n,n.gender = 'm' and n.name LIKE 'A%',8
n,n.gender = 'm' and n.name LIKE 'H%',2
n,n.gender = 'f' and n.name LIKE '%F%',1
n,n.gender = 'm' and n.name LIKE '%An%',3
n,n.gender = 'f' and n.name LIKE 'U%',3
n,n.gender = 'm' and n.name LIKE 'W%',3
n,n.gender = 'm' and n.name LIKE '%B%',5
n,n.gender = 'm' and n.name LIKE 'E%',1
n,n.gender = 'f' and n.name LIKE 'X%',8
n,n.gender = 'f' and n.name LIKE 'M%',2
n,n.gender = 'f' and n.name LIKE 'Z%',5
n,n.gender = 'm' and n.name LIKE 'F%',2
n,n.gender = 'f' and n.name LIKE 'F%',2
n,n.gender = 'f' and n.name LIKE '%V%',2
n,n.gender = 'm' and n.name LIKE '%G%',2
n,n.gender = 'f' and n.name LIKE 'Q%',4
n,n.gender = 'f' and n.name LIKE '%Yo%',3
n,n.gender = 'f' and n.name LIKE '%Bert%',4
n,n.gender = 'm' and n.name LIKE '%I%',4
n,n.gender = 'f' and n.name LIKE '%O%',4
n,n.gender = 'm' and n.name LIKE '%S%',5
n,n.gender = 'm' and n.name LIKE '%V%',2
n,n.gender = 'f' and n.name LIKE '%Q%',4
n,n.gender = 'm' and n.name LIKE 'M%',3
n,n.gender = 'm' and n.name LIKE '%Bert%',5
n,n.gender = 'm' and n.name LIKE 'Y%',4
n,n.gender = 'f' and n.name LIKE 'C%',1
n,n.gender = 'f' and n.name LIKE 'Y%',4
n,n.gender = 'f' and n.name LIKE '%Ang%',4
n,n.gender = 'f' and n.name LIKE 'T%',5
n,n.gender = 'f' and n.name LIKE '%P%',5
n,n.gender = 'f' and n.name LIKE '%H%',1
n,n.gender = 'f' and n.name LIKE 'G%',1
n,n.gender = 'f' and n.name LIKE 'S%',1
n,n.gender = 'm' and n.name LIKE '%X%',6
n,n.gender = 'f' and n.name LIKE 'K%',2
n,n.gender = 'f' and n.name LIKE '%Angel%',4
n,n.gender = 'f' and n.name LIKE 'A%',6
n,n.gender = 'f' and n.name LIKE '%N%',5
n,n.gender = 'm' and n.name LIKE '%K%',5
n,n.gender = 'm' and n.name LIKE '%Q%',3
n,n.gender = 'f' and n.name LIKE '%T%',3
n,n.gender = 'f' and n.name LIKE '%A%',4
n,n.gender = 'm' and n.name LIKE '%H%',3
n,n.gender = 'm' and n.name LIKE '%E%',1
n,n.gender = 'm' and n.name LIKE 'R%',4
n,n.gender = 'm' and n.name LIKE '%D%',3
n,n.gender = 'f' and n.name LIKE '%U%',4
n,n.gender = 'm' and n.name LIKE '%Ang%',2
n,n.gender = 'm' and n.name LIKE '%A%',2
n,n.gender = 'm' and n.name LIKE '%U%',8
n,n.gender = 'm' and n.name LIKE 'S%',3
n,n.gender = 'm' and n.name LIKE 'D%',1
n,n.gender = 'm' and n.name LIKE 'O%',2
n,n.gender = 'f' and n.name LIKE 'O%',5
n,n.gender = 'm' and n.name LIKE '%F%',3
n,n.gender = 'm' and n.name LIKE 'U%',4
n,n.gender = 'f' and n.name LIKE '%L%',2
n,n.gender = 'f' and n.name LIKE 'V%',2
n,n.gender = 'f' and n.name LIKE 'R%',3
n,n.gender = 'm' and n.name LIKE '%Y%',2
n,n.gender = 'f' and n.name LIKE '%M%',2
n,n.gender = 'f' and n.name LIKE 'H%',1
n,n.gender = 'm' and n.name LIKE 'L%',2
n,n.gender = 'm' and n.name LIKE '%W%',2
n,n.gender = 'm' and n.name LIKE '%C%',2
n,n.gender = 'f' and n.name LIKE '%E%',3
n,n.gender = 'm' and n.name LIKE '%Tim%',3
n,n.gender = 'm' and n.name LIKE '%Z%',2
n,n.gender = 'f' and n.name LIKE 'E%',3
n,n.gender = 'm' and n.name LIKE '%R%',5
n,n.gender = 'f' and n.name LIKE '%Tim%',1
n,n.gender = 'f' and n.name LIKE '%G%',1
n,n.gender = 'f' and n.name LIKE '%C%',1
n,n.gender = 'm' and n.name LIKE '%Angel%',3
n,n.gender = 'm' and n.name LIKE 'X%',3
n,n.gender = 'f' and n.name LIKE 'D%',5
n,n.gender = 'm' and n.name LIKE '%M%',3
n,n.gender = 'f' and n.name LIKE '%An%',1
n,n.gender = 'm' and n.name LIKE 'P%',1
n,n.gender = 'f' and n.name LIKE '%D%',1
n,n.gender = 'm' and n.name LIKE 'N%',3
n,n.gender = 'm' and n.name LIKE 'T%',3
n,n.gender = 'f' and n.name LIKE 'W%',1
n,n.gender = 'f' and n.name LIKE '%Y%',1
