Table,Condition,Frequency
ci,"ci.note IN ('(writer)', '(head writer)', '(written by)', '(story)', '(story editor)')",20
ci,"ci.note IN ('(voice)', '(voice: Japanese version)', '(voice) (uncredited)', '(voice: English version)')",21
ci,"ci.note IN ('(producer)', '(executive producer)')",5
ci,"ci.note IN ('(voice)', '(voice) (uncredited)', '(voice: English version)')",4
it_mi,it.info = 'countries',9
it_mi,it.info = 'release dates',17
it_mi,it.info = 'genres',23
it_mi,it.info = 'budget',1
it_miidx,it.info = 'rating',37
it_miidx,it.info = 'votes',13
n,n.gender = 'f' and n.name LIKE 'A%',1
n,n.gender = 'm' and n.name LIKE '%W%',1
n,n.gender = 'm' and n.name LIKE '%Downey%Robert%',1
n,n.gender = 'm' and n.name LIKE 'A%',1
n,n.gender = 'm' and n.name LIKE '%R%',2
n,n.gender = 'm' and n.name LIKE '%A%',1
n,n.gender = 'f' and n.name LIKE '%S%',2
n,n.gender = 'f' and n.name LIKE 'K%',1
n,n.gender = 'm' and n.name LIKE '%P%',1
n,n.gender = 'm' and n.name LIKE '%B%',2
n,n.gender = 'm' and n.name LIKE '%I%',1
n,n.gender = 'f' and n.name LIKE 'U%',1
n,n.gender = 'f' and n.name LIKE '%Bert%',2
n,n.gender = 'f' and n.name LIKE '%Yo%',1
n,n.gender = 'f' and n.name LIKE '%B%',2
n,n.gender = 'm' and n.name LIKE 'J%',1
n,n.gender = 'f' and n.name LIKE 'X%',2
n,n.gender = 'm' and n.name LIKE 'N%',1
n,n.gender = 'm' and n.name LIKE '%X%',2
n,n.gender = 'm' and n.name LIKE '%Q%',1
n,n.gender = 'f' and n.name LIKE '%V%',1
n,n.gender = 'f' and n.name LIKE 'F%',1
n,n.gender = 'f' and n.name LIKE 'Z%',1
n,n.gender = 'm' and n.name LIKE 'B%',1
n,n.gender = 'm' and n.name LIKE '%V%',1
n,n.gender = 'm' and n.name LIKE 'G%',1
n,n.gender = 'f' and n.name LIKE '%U%',2
n,n.gender = 'm' and n.name LIKE '%N%',1
n,n.gender = 'm' and n.name LIKE '%S%',2
n,n.gender = 'm' and n.name LIKE '%U%',1
n,n.gender = 'm' and n.name LIKE 'K%',1
n,n.gender = 'f' and n.name LIKE 'T%',1
n,n.gender = 'm' and n.name LIKE 'X%',1
n,n.gender = 'f' and n.name LIKE 'Q%',1
n,n.gender = 'f' and n.name LIKE 'Y%',1
n,n.gender = 'm' and n.name LIKE '%Y%',1
n,n.gender = 'f' and n.name LIKE '%N%',1
n,n.gender = 'm' and n.name LIKE '%G%',1
n,n.gender = 'f' and n.name LIKE 'B%',2
n,n.gender = 'm' and n.name LIKE '%Yo%',1
