Table,Condition,Frequency
it_mi,it.info = 'countries',36
it_mi,it.info = 'genres',14
it_miidx,it.info = 'rating',38
it_miidx,it.info = 'votes',10
it_miidx,it.info = 'top 250 rank',2
k,"k.keyword IN ('murder', 'murder-in-title')",3
k,"k.keyword IN ('superhero', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence', 'magnet', 'web', 'claw', 'laser')",7
k,"k.keyword IN ('murder', 'violence', 'blood', 'gore', 'death', 'female-nudity', 'hospital')",9
k,"k.keyword IN ('murder', 'blood', 'gore', 'death', 'female-nudity')",4
k,"k.keyword IN ('hero', 'martial-arts', 'hand-to-hand-combat')",3
k,"k.keyword IN ('murder', 'murder-in-title', 'blood', 'violence')",15
k,"k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence')",5
k,"k.keyword IN ('sequel', 'revenge', 'based-on-novel')",3
k,"k.keyword IN ('nerd', 'loner', 'alienation', 'dignity')",1
kt,kt.kind = 'movie',50
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'USA', 'American')",16
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German')",7
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'English')",1
mi,"mi.info IN ('USA', 'America')",4
mi,"mi.info IN ('Horror', 'Action', 'Sci-Fi', 'Thriller', 'Crime', 'War')",9
mi,"mi.info IN ('Sweden', 'Germany', 'Swedish', 'German')",4
mi,"mi.info IN ('Horror', 'Thriller')",3
mi,"mi.info IN ('Germany', 'German')",2
mi,"mi.info IN ('Germany', 'German', 'USA', 'American')",2
mi,"mi.info IN ('Drama', 'Horror', 'Western', 'Family')",2
mi_idx,mi_idx.info < '7.0',9
mi_idx,mi_idx.info < '3.0',9
mi_idx,mi_idx.info < '8.5',27
mi_idx,mi_idx.info < '3.5',5
t,t.production_year > 2000,22
t,t.production_year > 1950,4
t,t.production_year > 1990,11
t,t.production_year > 2005,13
