Table,Condition,Frequency
it_mi,it.info = 'genres',20
it_mi,it.info = 'countries',30
it_miidx,it.info = 'rating',37
it_miidx,it.info = 'votes',13
k,"k.keyword IN ('murder', 'murder-in-title', 'blood', 'violence')",13
k,"k.keyword IN ('sequel', 'revenge', 'based-on-novel')",6
k,"k.keyword IN ('superhero', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence', 'magnet', 'web', 'claw', 'laser')",4
k,"k.keyword IN ('murder', 'violence', 'blood', 'gore', 'death', 'female-nudity', 'hospital')",7
k,"k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence')",10
k,"k.keyword IN ('nerd', 'loner', 'alienation', 'dignity')",2
k,"k.keyword IN ('murder', 'blood', 'gore', 'death', 'female-nudity')",2
k,"k.keyword IN ('superhero', 'marvel-comics', 'based-on-comic', 'fight')",3
k,"k.keyword IN ('hero', 'martial-arts', 'hand-to-hand-combat')",2
k,"k.keyword IN ('murder', 'murder-in-title')",1
kt,kt.kind = 'movie',50
mi,"mi.info IN ('Horror', 'Thriller')",4
mi,"mi.info IN ('Germany', 'German', 'USA', 'American')",3
mi,"mi.info IN ('Horror', 'Action', 'Sci-Fi', 'Thriller', 'Crime', 'War')",12
mi,"mi.info IN ('Drama', 'Horror', 'Western', 'Family')",2
mi,"mi.info IN ('Germany', 'German')",1
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'USA', 'American')",17
mi,"mi.info IN ('Drama', 'Horror')",2
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German')",6
mi,"mi.info IN ('Sweden', 'Germany', 'Swedish', 'German')",2
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'English')",1
mi_idx,mi_idx.info < '8.5',26
mi_idx,mi_idx.info < '7.0',9
mi_idx,mi_idx.info < '3.0',11
mi_idx,mi_idx.info < '3.5',4
t,t.production_year > 1950,3
t,t.production_year > 2010,16
t,t.production_year > 2005,9
t,t.production_year > 2000,14
t,t.production_year > 1990,7
t,t.production_year > 2009,1
